W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,NP/S,VP/S,PP/S,NPlen,VPlen,PPlen, numsyl, avgchar,awl,ld,ttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,class_y
144,10,22,13,9,6,4,7,18,14.4,16,11.0769,1.3,2.4444,1.4444,0.4615,0.6667,0.9,0.4444,0.7778,0.5385,2,1.3846,4.9,2.5,1.2,1.88,1.48,1,1.63,4.92,0.112,0.59,0.63,5.42,7.67,0.91,23.62,0.74,0.73,13.88,2.63,0.22,0.72,0.13,0.01,0.14,4
313,14,42,28,14,10,6,12,35,22.3571,22.3571,11.1786,2,3,2,0.3571,0.7143,1,0.4286,0.8571,0.4286,2.5,1.25,7.43,3,2.21,2.03,1.93,1.1,1.6,4.76,0.0418,0.53,0.5,6.33,8.96,0.88,21.02,0.66,0.7,25.83,3.59,0.22,0.63,0.05,0.02,0.08,4
61,5,11,7,5,0,0,1,3,12.2,12.2,8.7143,1.4,2.2,1.4,0,0,1,0,0.2,0.1429,0.6,0.4286,4,2.2,1,1.8,2.09,1,1.49,4.27,0.1864,0.49,0.71,4.01,5.67,0.92,22.16,0.77,0.8,6.4,1.79,0.26,0.75,0.1,0.06,0.16,4
592,36,87,60,37,21,15,20,61,16.4444,16,9.8667,1.6667,2.3514,1.6216,0.35,0.5676,1.0278,0.4054,0.5405,0.3333,1.6486,1.0167,5.51,2.08,1.89,1.75,1.73,1,1.47,4.42,0.065,0.51,0.48,8.21,11.61,0.88,23.89,0.71,0.63,37.43,4.33,0.19,0.71,0.13,0.02,0.15,4
194,10,33,22,11,10,5,2,18,19.4,17.6364,8.8182,2.2,3,2,0.4545,0.9091,1.1,0.4545,0.1818,0.0909,1.6364,0.8182,5.45,2.73,1.36,1.92,1.9,1,1.59,4.66,0.0919,0.57,0.61,6.15,8.7,0.91,25.08,0.79,0.81,28.49,3.77,0.31,0.76,0.13,0.04,0.17,4
169,13,22,15,12,5,4,11,15,13,14.0833,11.2667,1.1538,1.8333,1.25,0.3333,0.4167,0.9231,0.3333,0.9167,0.7333,1.25,1,3.92,2.08,1.15,1.67,1.52,1,1.55,4.84,0.1677,0.6,0.61,5.7,8.06,0.9,23.54,0.71,0.72,16.53,2.88,0.22,0.68,0.11,0,0.11,4
272,15,38,25,16,11,10,4,28,18.1333,17,10.88,1.6667,2.375,1.5625,0.44,0.6875,1.0667,0.625,0.25,0.16,1.75,1.12,5.53,2.6,1.87,2.08,1.69,1,1.53,4.54,0.1357,0.56,0.52,6.15,8.7,0.88,21.13,0.66,0.69,21.36,3.27,0.2,0.62,0.13,0.03,0.15,4
505,29,75,50,30,23,15,11,63,17.4138,16.8333,10.1,1.7241,2.5,1.6667,0.46,0.7667,1.0345,0.5,0.3667,0.22,2.1,1.26,5.76,2.62,1.66,1.75,1.72,1,1.63,4.87,0.1362,0.55,0.48,7.81,11.04,0.88,23.4,0.66,0.64,39.17,4.43,0.21,0.66,0.12,0.02,0.14,4
346,22,52,32,21,11,8,10,37,15.7273,16.4762,10.8125,1.4545,2.4762,1.5238,0.3438,0.5238,0.9545,0.381,0.4762,0.3125,1.7619,1.1562,4.86,2.5,1.45,1.8,1.8,1,1.63,4.73,0.0694,0.54,0.5,6.6,9.33,0.88,21.37,0.69,0.78,36.82,4.29,0.25,0.61,0.1,0.03,0.12,4
199,13,25,14,13,3,3,14,18,15.3077,15.3077,14.2143,1.0769,1.9231,1.0769,0.2143,0.2308,1,0.2308,1.0769,1,1.3846,1.2857,4.36,2.43,1.14,1.77,1.62,1,1.5,4.61,0.1404,0.59,0.68,6.82,9.64,0.93,31.52,0.83,0.81,20.16,3.18,0.21,0.85,0.12,0.01,0.12,4
