 numsyl, avgchar,awl,ld,ttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,class_y
1.63,4.92,0.112,0.59,0.63,5.42,7.67,0.91,23.62,0.74,0.73,13.88,2.63,0.22,0.72,0.13,0.01,0.14,4
1.6,4.76,0.0418,0.53,0.5,6.33,8.96,0.88,21.02,0.66,0.7,25.83,3.59,0.22,0.63,0.05,0.02,0.08,4
1.49,4.27,0.1864,0.49,0.71,4.01,5.67,0.92,22.16,0.77,0.8,6.4,1.79,0.26,0.75,0.1,0.06,0.16,4
1.47,4.42,0.065,0.51,0.48,8.21,11.61,0.88,23.89,0.71,0.63,37.43,4.33,0.19,0.71,0.13,0.02,0.15,4
1.59,4.66,0.0919,0.57,0.61,6.15,8.7,0.91,25.08,0.79,0.81,28.49,3.77,0.31,0.76,0.13,0.04,0.17,4
1.55,4.84,0.1677,0.6,0.61,5.7,8.06,0.9,23.54,0.71,0.72,16.53,2.88,0.22,0.68,0.11,0,0.11,4
1.53,4.54,0.1357,0.56,0.52,6.15,8.7,0.88,21.13,0.66,0.69,21.36,3.27,0.2,0.62,0.13,0.03,0.15,4
1.63,4.87,0.1362,0.55,0.48,7.81,11.04,0.88,23.4,0.66,0.64,39.17,4.43,0.21,0.66,0.12,0.02,0.14,4
1.63,4.73,0.0694,0.54,0.5,6.6,9.33,0.88,21.37,0.69,0.78,36.82,4.29,0.25,0.61,0.1,0.03,0.12,4
1.5,4.61,0.1404,0.59,0.68,6.82,9.64,0.93,31.52,0.83,0.81,20.16,3.18,0.21,0.85,0.12,0.01,0.12,4
1.62,4.97,0.0962,0.64,0.7,6.79,9.6,0.93,33.24,0.83,0.89,15.21,2.76,0.14,0.82,0.08,0.01,0.09,4
1.59,4.68,0.172,0.6,0.65,6.6,9.34,0.92,28.36,0.81,0.88,25.48,3.57,0.23,0.75,0.14,0.01,0.14,4
1.47,4.45,0.0711,0.53,0.56,6.85,9.68,0.9,24.54,0.75,0.78,27.22,3.69,0.23,0.69,0.14,0.02,0.16,4
1.54,4.63,0.1393,0.56,0.68,5.68,8.03,0.92,27.35,0.81,0.87,17.39,2.95,0.25,0.77,0.11,0.01,0.13,4
1.55,4.5,0.1356,0.56,0.53,7.5,10.6,0.89,24.68,0.72,0.77,41.66,4.56,0.24,0.68,0.13,0.02,0.15,4
1.44,4.49,0.125,0.54,0.6,5.69,8.05,0.9,22.93,0.74,0.81,17.93,2.99,0.23,0.71,0.13,0.01,0.14,4
1.48,4.55,0.125,0.54,0.47,6.81,9.64,0.88,21.03,0.65,0.7,36.96,4.3,0.24,0.58,0.11,0.02,0.13,4
1.78,5.33,0.0408,0.76,0.82,4.58,6.48,0.95,37.88,0.83,1,3,1.22,0.06,0.83,0.04,0,0.04,4
1.58,4.83,0.1034,0.55,0.43,8.04,11.37,0.87,22.06,0.61,0.56,42.47,4.61,0.2,0.63,0.07,0.02,0.09,4
1.49,4.41,0.1171,0.52,0.43,6.07,8.58,0.86,18.39,0.55,0.63,25.86,3.6,0.2,0.46,0.1,0.01,0.11,4
1.53,4.68,0.0784,0.57,0.68,7.26,10.27,0.93,33.6,0.83,0.82,27.23,3.69,0.26,0.79,0.14,0.04,0.18,4
1.45,4.31,0.1572,0.54,0.56,6.36,9,0.9,23.21,0.72,0.69,21.36,3.27,0.22,0.68,0.14,0.04,0.17,4
1.47,4.44,0.0732,0.54,0.52,6.57,9.3,0.89,22.23,0.69,0.71,28.98,3.81,0.24,0.63,0.14,0.02,0.16,4
1.79,5.66,0.0294,0.7,0.81,5.35,7.57,0.95,40.56,0.89,1,2,1,0.03,0.88,0.02,0.02,0.03,4
1.71,4.98,0.1579,0.58,0.49,6.83,9.66,0.88,21.6,0.63,0.6,27.48,3.71,0.2,0.67,0.1,0.01,0.11,4
1.5,4.41,0.0902,0.57,0.57,6.76,9.55,0.9,24.75,0.72,0.67,20,3.16,0.19,0.74,0.11,0.04,0.15,4
1.55,4.58,0.1818,0.53,0.55,5.78,8.18,0.89,21.26,0.71,0.82,22.09,3.32,0.23,0.63,0.1,0.02,0.12,4
1.49,4.61,0.0795,0.58,0.58,6.7,9.48,0.9,25.05,0.76,0.74,25.13,3.54,0.22,0.77,0.12,0.03,0.14,4
1.58,4.64,0.1979,0.56,0.6,6.27,8.87,0.91,24.9,0.78,0.76,21.19,3.25,0.23,0.8,0.12,0.01,0.13,4
1.69,5.12,0.1073,0.59,0.59,6.61,9.35,0.9,24.97,0.77,0.83,29.17,3.82,0.23,0.74,0.08,0.01,0.09,4
1.59,4.74,0.1371,0.57,0.62,6.02,8.51,0.91,24.88,0.79,0.77,20.83,3.23,0.25,0.76,0.12,0.03,0.15,4
1.6,4.76,0.0836,0.54,0.54,7.37,10.43,0.89,24.52,0.69,0.73,32.27,4.02,0.21,0.62,0.14,0.03,0.17,4
1.51,4.61,0.1071,0.54,0.65,5.76,8.14,0.91,25.74,0.79,0.79,15.04,2.74,0.22,0.77,0.11,0.02,0.13,4
1.58,4.73,0.0774,0.54,0.34,8.12,11.49,0.85,19.9,0.49,0.49,40.52,4.5,0.13,0.47,0.09,0.02,0.11,4
1.44,4.39,0.1542,0.53,0.56,6.35,8.98,0.89,22.88,0.74,0.74,28.7,3.79,0.28,0.7,0.13,0.01,0.14,4
1.64,4.96,0.1159,0.61,0.58,7.27,10.29,0.91,26.45,0.75,0.77,28.52,3.78,0.19,0.73,0.17,0.01,0.17,4
1.65,5,0.1577,0.58,0.59,6.76,9.56,0.9,25.37,0.76,0.84,25.97,3.6,0.2,0.73,0.14,0.02,0.16,4
1.49,4.49,0.1833,0.58,0.67,5.52,7.8,0.92,26.09,0.78,0.84,13.47,2.6,0.2,0.74,0.15,0,0.15,4
1.67,5.03,0.1699,0.57,0.5,7.93,11.21,0.89,24.36,0.69,0.7,42.77,4.62,0.22,0.68,0.12,0.02,0.14,4
2.43,6.29,0,0.57,1,1.87,2.65,1,0,1,0,0,0,0,1,0,0,0,4
1.33,4.29,0.0662,0.53,0.65,5.81,8.22,0.92,25.97,0.78,0.7,11.13,2.36,0.19,0.76,0.12,0.02,0.14,4
1.62,4.79,0.0833,0.54,0.54,6.88,9.73,0.89,23.72,0.75,0.79,32.33,4.02,0.24,0.71,0.08,0.02,0.1,4
1.47,4.48,0.1176,0.57,0.57,7.32,10.36,0.9,26.17,0.74,0.77,26.27,3.62,0.18,0.68,0.13,0.02,0.16,4
1.57,4.71,0.0691,0.59,0.61,6.72,9.5,0.91,26.25,0.77,0.87,28.66,3.79,0.23,0.74,0.1,0.01,0.11,4
1.4,4.23,0.0543,0.53,0.51,7.28,10.3,0.89,23.29,0.74,0.69,32.91,4.06,0.22,0.76,0.09,0.01,0.1,4
1.53,4.57,0.1636,0.6,0.54,7.89,11.15,0.9,25.78,0.7,0.64,28.06,3.75,0.17,0.75,0.12,0.02,0.14,4
1.57,4.73,0.1054,0.56,0.49,7.22,10.21,0.88,22.52,0.66,0.6,29.64,3.85,0.2,0.65,0.14,0.03,0.17,4
1.57,4.63,0.1714,0.57,0.61,5.56,7.87,0.9,22.85,0.76,0.81,16.96,2.91,0.22,0.71,0.12,0,0.12,4
1.4,4.38,0.1006,0.55,0.6,5.75,8.13,0.9,23.16,0.74,0.69,17.36,2.95,0.25,0.73,0.17,0.03,0.2,4
1.54,4.71,0.1201,0.57,0.54,7.04,9.96,0.89,23.8,0.7,0.67,24.89,3.53,0.19,0.7,0.14,0.01,0.14,4
1.5,4.47,0.08,0.54,0.63,6.05,8.56,0.91,25.34,0.78,0.83,24.03,3.47,0.29,0.73,0.11,0.03,0.14,4
1.78,5.27,0.0535,0.55,0.38,7.75,10.96,0.86,20.32,0.52,0.53,37.62,4.34,0.16,0.53,0.08,0.02,0.11,4
1.55,4.65,0.1014,0.52,0.44,7.23,10.22,0.87,20.91,0.62,0.58,35.93,4.24,0.22,0.62,0.08,0.02,0.1,4
1.38,4.23,0.1193,0.52,0.53,5.26,7.44,0.88,19.03,0.68,0.73,17.45,2.95,0.23,0.65,0.11,0.02,0.13,4
1.48,4.48,0.1033,0.54,0.58,5.88,8.32,0.9,22.49,0.73,0.77,20.83,3.23,0.24,0.68,0.12,0.02,0.14,4
1.6,4.62,0.1051,0.52,0.48,5.65,7.99,0.87,18.72,0.64,0.7,19.6,3.13,0.2,0.56,0.11,0.03,0.14,4
1.46,4.47,0.0571,0.54,0.33,6.36,9,0.83,17.18,0.45,0.52,30.54,3.91,0.15,0.38,0.07,0.01,0.09,4
1.56,4.61,0.0534,0.52,0.4,8,11.31,0.86,21.09,0.56,0.57,40.33,4.49,0.17,0.52,0.11,0.01,0.12,4
1.52,4.66,0.0738,0.53,0.34,7.57,10.7,0.84,19.22,0.5,0.48,36.6,4.28,0.15,0.52,0.08,0.02,0.1,4
1.55,4.66,0.0824,0.54,0.54,8.22,11.62,0.9,26.38,0.75,0.75,36.94,4.3,0.19,0.69,0.14,0.02,0.16,4
1.58,4.77,0.1429,0.55,0.57,7.12,10.07,0.9,25.31,0.7,0.81,30.72,3.92,0.22,0.61,0.09,0.04,0.13,4
1.57,4.82,0.0696,0.52,0.45,7.42,10.49,0.87,21.49,0.63,0.62,32.66,4.04,0.19,0.61,0.09,0.01,0.1,4
1.56,4.62,0.1098,0.53,0.33,8.55,12.09,0.85,20.39,0.51,0.5,53.5,5.17,0.15,0.48,0.08,0.01,0.09,4
1.53,4.63,0.1275,0.57,0.61,4.73,6.69,0.9,20.3,0.71,0.72,9.39,2.17,0.19,0.68,0.15,0,0.15,4
1.56,4.64,0.1385,0.58,0.64,6.76,9.55,0.92,28.34,0.8,0.74,20.63,3.21,0.22,0.84,0.1,0.02,0.12,4
1.47,4.37,0.123,0.53,0.43,6.34,8.96,0.86,18.92,0.51,0.5,14.5,2.69,0.12,0.48,0.12,0,0.12,4
1.58,4.81,0.1542,0.56,0.56,6.12,8.66,0.9,22.61,0.7,0.74,18.38,3.03,0.19,0.65,0.13,0.01,0.14,4
1.6,4.71,0.2283,0.56,0.68,4.83,6.83,0.92,23.77,0.77,0.93,12.07,2.46,0.23,0.71,0.16,0,0.16,4
1.51,4.54,0.1378,0.53,0.5,6.6,9.33,0.88,21.46,0.68,0.63,29.45,3.84,0.25,0.68,0.11,0.02,0.13,4
1.52,4.65,0.1021,0.51,0.5,6.45,9.12,0.88,21.28,0.7,0.72,25.92,3.6,0.22,0.68,0.1,0.01,0.11,4
1.52,4.54,0.0692,0.52,0.41,8.58,12.14,0.87,22.37,0.62,0.57,54.53,5.22,0.21,0.65,0.09,0.02,0.12,4
1.58,4.69,0.1673,0.54,0.52,6.41,9.06,0.89,21.82,0.67,0.75,28.31,3.76,0.23,0.63,0.1,0.02,0.13,4
1.44,4.34,0.1049,0.51,0.43,6.65,9.41,0.86,19.63,0.6,0.64,30.26,3.89,0.19,0.55,0.1,0.03,0.13,4
1.38,4.31,0.0771,0.49,0.39,6.21,8.78,0.85,17.87,0.57,0.6,31.44,3.96,0.21,0.54,0.08,0.02,0.1,4
1.6,4.79,0.1094,0.55,0.47,7.25,10.25,0.88,21.76,0.66,0.67,34.67,4.16,0.2,0.62,0.11,0.03,0.14,4
1.44,4.44,0.1287,0.52,0.54,7.17,10.15,0.9,24.46,0.74,0.74,36.38,4.26,0.27,0.72,0.14,0.01,0.15,4
1.56,4.7,0.1528,0.64,0.69,6.4,9.05,0.93,31.37,0.81,0.89,15.21,2.76,0.16,0.81,0.11,0,0.11,4
1.63,4.93,0.0938,0.59,0.41,10.79,15.25,0.88,25.55,0.59,0.56,78.71,6.27,0.17,0.59,0.1,0.02,0.12,4
1.55,4.69,0.1042,0.6,0.68,6.38,9.02,0.92,29.94,0.82,0.89,15.21,2.76,0.16,0.82,0.09,0,0.09,4
1.5,4.51,0.1659,0.55,0.61,6.52,9.23,0.91,26.06,0.78,0.76,22.13,3.33,0.23,0.77,0.1,0.01,0.11,4
1.5,4.41,0.1633,0.54,0.59,5.36,7.57,0.9,21.51,0.75,0.81,16.96,2.91,0.24,0.7,0.13,0.02,0.16,4
1.62,4.91,0.147,0.51,0.53,6.55,9.26,0.89,22.51,0.74,0.8,26.56,3.64,0.22,0.67,0.1,0.03,0.12,4
1.54,4.5,0.1796,0.6,0.45,6.61,9.35,0.87,20.15,0.61,0.5,18.5,3.04,0.15,0.63,0.16,0.02,0.19,4
1.5,4.65,0.127,0.56,0.57,5.8,8.2,0.89,21.97,0.73,0.84,22.78,3.38,0.23,0.67,0.09,0.03,0.12,4
1.68,4.97,0.0813,0.55,0.48,8.66,12.24,0.89,24.72,0.67,0.64,45.41,4.77,0.19,0.69,0.14,0.04,0.17,4
1.5,4.51,0.1041,0.57,0.59,7.32,10.35,0.91,27.09,0.78,0.75,30.56,3.91,0.23,0.75,0.14,0.04,0.18,4
1.55,4.6,0.1259,0.55,0.52,7.73,10.93,0.89,24.71,0.72,0.79,41.93,4.58,0.22,0.66,0.15,0.01,0.16,4
1.66,4.99,0.0729,0.56,0.54,7.08,10.02,0.9,24.15,0.7,0.67,22.67,3.37,0.18,0.69,0.13,0.01,0.14,4
1.46,4.37,0.0467,0.52,0.37,8.32,11.77,0.86,20.99,0.53,0.54,57.62,5.37,0.21,0.49,0.07,0.02,0.09,4
