Filename,TLC/D,ALCL, numsyl, avgchar,awl,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,class_y
152.txt,26,3,1.4,4.57,0.0196,33,182,85,135,83,324,135,208,133,0.64,0.64,0.47,0.52,17.29,2.94,182,42,43.4,40.1,0.56,0.8,7.15,10.11,0.9,25.16,0.65,0.71,32.14,4.01,0.22,0.64,0.06,0.02,0.08,324,33,52,37,31,6,3,14,27,9.8182,10.4516,8.7568,1.1212,1.6774,1.1935,0.1622,0.1935,0.9394,0.0968,0.4516,0.3784,0.871,0.7297,1
388.txt,11,2,1.37,4.18,0.0588,15,91,42,65,42,144,60,89,60,0.62,0.67,0.46,0.59,11.76,2.43,91,39,40.3,38.5,0.63,0.78,5.36,7.58,0.91,23.37,0.73,0.71,16.94,2.91,0.27,0.7,0.07,0.03,0.1,144,15,25,20,15,5,4,2,16,9.6,9.6,7.2,1.3333,1.6667,1.3333,0.25,0.3333,1,0.2667,0.1333,0.1,1.0667,0.8,1
218.txt,23,3,1.35,4.25,0,30,139,51,98,50,250,75,148,74,0.59,0.5,0.37,0.46,7.81,1.98,139,36,40,40.2,0.56,0.81,6.22,8.79,0.89,22.56,0.66,0.65,15.57,2.79,0.16,0.64,0.12,0.02,0.14,251,31,38,35,30,5,4,7,23,8.0968,8.3667,7.1714,1.129,1.2667,1.1667,0.1429,0.1667,0.9677,0.1333,0.2333,0.2,0.7667,0.6571,1
241.txt,26,5,1.62,4.84,0.0117,26,144,69,111,67,275,104,173,102,0.63,0.59,0.48,0.27,2.95,1.21,144,33,40,38.7,0.52,0.79,6.14,8.68,0.88,21.18,0.64,0.54,11.8,2.43,0.13,0.65,0.09,0.01,0.09,273,26,36,29,27,3,3,7,37,10.5,10.1111,9.4138,1.1154,1.3333,1.0741,0.1034,0.1111,1.0385,0.1111,0.2593,0.2414,1.3704,1.2759,1
51.txt,5,2,1.51,4.63,0,8,51,18,37,18,77,23,48,23,0.62,0.48,0.35,0.5,2,1,51,34,36.3,32.3,0.66,0.68,4.11,5.81,0.91,19.89,0.77,0.88,6.12,1.75,0.15,0.72,0.06,0.02,0.08,77,8,7,5,6,1,0,1,8,9.625,12.8333,15.4,0.625,1.1667,0.8333,0.2,0.1667,0.75,0,0.1667,0.2,1.3333,1.6,1
418.txt,1,2,1.6,4.8,0.16,3,29,10,15,9,42,22,16,10,0.38,0.62,0.34,0.2,0.2,0.32,29,29,29,29,0.69,0.69,3.16,4.47,0.9,16.38,0.94,1,5,1.58,0.31,0.91,0,0,0,42,3,6,5,3,2,1,1,3,14,14,8.4,1.6667,2,1.6667,0.4,0.6667,1,0.3333,0.3333,0.2,1,0.6,1
59.txt,5,2,1.6,4.96,0,8,57,24,40,24,76,32,49,32,0.64,0.65,0.42,0.67,5.33,1.63,57,38,41.2,39.9,0.75,0.76,4.62,6.54,0.93,28.31,0.82,0.83,8.33,2.04,0.2,0.77,0.1,0.02,0.12,76,8,10,9,7,2,2,2,7,9.5,10.8571,8.4444,1.125,1.4286,1.2857,0.2222,0.2857,0.875,0.2857,0.2857,0.2222,1,0.7778,1
495.txt,13,4,1.44,4.39,0,26,106,51,75,48,181,73,105,68,0.58,0.65,0.48,0.26,1.81,0.95,106,40,39.7,39,0.59,0.75,5.57,7.88,0.9,21.94,0.71,0.56,8.33,2.04,0.14,0.74,0.1,0.01,0.1,177,26,26,24,24,0,0,6,13,6.8077,7.375,7.375,0.9231,1.0833,1,0,0,0.9231,0,0.25,0.25,0.5417,0.5417,1
372.txt,4,2,1.51,4.39,0,9,53,21,34,18,74,30,43,27,0.58,0.63,0.4,0.58,4.08,1.43,53,38,37.7,37.1,0.72,0.76,4.36,6.16,0.92,24.1,0.79,0.67,5.33,1.63,0.19,0.81,0.07,0.02,0.09,72,9,10,8,9,0,0,1,6,8,8,9,0.8889,1.1111,0.8889,0,0,1,0,0.1111,0.125,0.6667,0.75,1
108.txt,4,4,1.32,4.33,0,7,37,11,19,11,66,16,37,16,0.56,0.43,0.3,0.25,0.5,0.5,37,25,29.4,26.7,0.56,0.5,3.22,4.55,0.86,13.17,0.51,0.5,2,1,0.11,0.67,0.05,0,0.05,66,7,9,9,7,2,2,1,5,9.4286,9.4286,7.3333,1.2857,1.2857,1.2857,0.2222,0.2857,1,0.2857,0.1429,0.1111,0.7143,0.5556,1
229.txt,4,2,1.51,4.81,0,5,32,9,20,9,40,9,22,9,0.55,0.41,0.28,0.5,1.5,0.87,32,32,32,32,0.8,0.8,3.58,5.06,0.94,26.48,0.91,1,6,1.73,0.27,0.85,0.09,0.05,0.14,40,5,6,4,5,0,0,1,3,8,8,10,0.8,1.2,0.8,0,0,1,0,0.2,0.25,0.6,0.75,1
493.txt,5,2,1.73,4.96,0.0667,6,42,11,23,11,50,13,26,13,0.52,0.5,0.26,0.5,1.5,0.87,42,42,42,42,0.84,0.84,4.2,5.94,0.96,38.12,0.88,0.83,4.17,1.44,0.19,0.93,0.12,0.04,0.15,50,6,6,6,5,0,0,1,2,8.3333,10,8.3333,1,1.2,1.2,0,0,0.8333,0,0.2,0.1667,0.4,0.3333,1
42.txt,11,2,1.3,4.12,0.0089,12,67,23,47,23,118,31,72,31,0.61,0.43,0.34,0.39,3.52,1.33,67,38,35.5,33.4,0.57,0.7,4.36,6.17,0.88,17.46,0.65,0.61,8.52,2.06,0.19,0.68,0.08,0.01,0.1,117,12,14,10,10,1,1,2,13,9.75,11.7,11.7,0.8333,1.4,1,0.1,0.1,0.8333,0.1,0.2,0.2,1.3,1.3,1
92.txt,6,2,1.45,4.51,0,9,53,25,34,23,84,40,46,35,0.55,0.76,0.47,0.38,1.12,0.75,53,34,36.1,34.4,0.63,0.68,4.09,5.78,0.9,18.51,0.74,0.62,3.12,1.25,0.11,0.73,0.09,0.02,0.11,82,9,10,10,8,2,2,2,9,9.1111,10.25,8.2,1.1111,1.25,1.25,0.2,0.25,0.8889,0.25,0.25,0.2,1.125,0.9,1
337.txt,13,2,1.49,4.76,0,8,77,34,56,31,115,44,76,40,0.66,0.53,0.44,0.39,3.52,1.33,77,41,40.6,40.6,0.67,0.82,5.08,7.18,0.92,24.38,0.74,0.74,12.57,2.51,0.22,0.72,0.04,0.04,0.08,115,8,14,12,9,3,3,7,11,14.375,12.7778,9.5833,1.5,1.5556,1.3333,0.25,0.3333,1.125,0.3333,0.7778,0.5833,1.2222,0.9167,1
