TLC/D,ALCL, numsyl, avgchar,awl,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,class_y
11,3,1.63,4.92,0.112,10,93,40,64,36,147,53,86,47,0.59,0.55,0.43,0.42,4.65,1.53,93,35,40.5,38.9,0.63,0.78,5.42,7.67,0.91,23.62,0.74,0.73,13.88,2.63,0.22,0.72,0.13,0.01,0.14,144,10,22,13,9,6,4,7,18,14.4,16,11.0769,1.3,2.4444,1.4444,0.4615,0.6667,0.9,0.4444,0.7778,0.5385,2,1.3846,4
22,4,1.6,4.76,0.0418,14,159,65,111,60,315,90,168,84,0.53,0.5,0.41,0.4,8.32,2.04,159,37,38.8,37.6,0.5,0.76,6.33,8.96,0.88,21.02,0.66,0.7,25.83,3.59,0.22,0.63,0.05,0.02,0.08,313,14,42,28,14,10,6,12,35,22.3571,22.3571,11.1786,2,3,2,0.3571,0.7143,1,0.4286,0.8571,0.4286,2.5,1.25,4
3,2,1.49,4.27,0.1864,5,45,10,24,8,63,15,31,13,0.49,0.42,0.22,0.1,0.1,0.22,45,39,37.3,36.4,0.71,0.78,4.01,5.67,0.92,22.16,0.77,0.8,6.4,1.79,0.26,0.75,0.1,0.06,0.16,61,5,11,7,5,0,0,1,3,12.2,12.2,8.7143,1.4,2.2,1.4,0,0,1,0,0.2,0.1429,0.6,0.4286,4
48,3,1.47,4.42,0.065,36,283,120,214,114,594,178,303,165,0.51,0.54,0.42,0.42,16.35,2.86,283,45,41.3,39.5,0.48,0.79,8.21,11.61,0.88,23.89,0.71,0.63,37.43,4.33,0.19,0.71,0.13,0.02,0.15,592,36,87,60,37,21,15,20,61,16.4444,16,9.8667,1.6667,2.3514,1.6216,0.35,0.5676,1.0278,0.4054,0.5405,0.3333,1.6486,1.0167,4
13,3,1.59,4.66,0.0919,10,123,40,90,38,200,54,114,48,0.57,0.42,0.33,0.47,9.3,2.16,123,43,42.3,38.6,0.61,0.8,6.15,8.7,0.91,25.08,0.79,0.81,28.49,3.77,0.31,0.76,0.13,0.04,0.17,194,10,33,22,11,10,5,2,18,19.4,17.6364,8.8182,2.2,3,2,0.4545,0.9091,1.1,0.4545,0.1818,0.0909,1.6364,0.8182,4
13,3,1.55,4.84,0.1677,13,106,42,73,38,173,63,103,57,0.6,0.55,0.4,0.38,4.5,1.5,106,33,43.1,40.5,0.61,0.75,5.7,8.06,0.9,23.54,0.71,0.72,16.53,2.88,0.22,0.68,0.11,0,0.11,169,13,22,15,12,5,4,11,15,13,14.0833,11.2667,1.1538,1.8333,1.25,0.3333,0.4167,0.9231,0.3333,0.9167,0.7333,1.25,1,4
17,4,1.53,4.54,0.1357,15,145,61,103,59,278,105,155,99,0.56,0.64,0.42,0.47,9.8,2.21,145,39,39.3,36.9,0.52,0.76,6.15,8.7,0.88,21.13,0.66,0.69,21.36,3.27,0.2,0.62,0.13,0.03,0.15,272,15,38,25,16,11,10,4,28,18.1333,17,10.88,1.6667,2.375,1.5625,0.44,0.6875,1.0667,0.625,0.25,0.16,1.75,1.12,4
32,4,1.63,4.87,0.1362,29,252,128,188,122,521,210,284,191,0.55,0.67,0.51,0.43,17.69,2.97,252,40,41.6,40,0.48,0.79,7.81,11.04,0.88,23.4,0.66,0.64,39.17,4.43,0.21,0.66,0.12,0.02,0.14,505,29,75,50,30,23,15,11,63,17.4138,16.8333,10.1,1.7241,2.5,1.6667,0.46,0.7667,1.0345,0.5,0.3667,0.22,2.1,1.26,4
25,4,1.63,4.73,0.0694,22,175,74,131,70,352,100,189,92,0.54,0.49,0.42,0.43,11.27,2.37,175,42,40.3,37.9,0.5,0.77,6.6,9.33,0.88,21.37,0.69,0.78,36.82,4.29,0.25,0.61,0.1,0.03,0.12,346,22,52,32,21,11,8,10,37,15.7273,16.4762,10.8125,1.4545,2.4762,1.5238,0.3438,0.5238,0.9545,0.381,0.4762,0.3125,1.7619,1.1562,4
20,2,1.5,4.61,0.1404,13,137,63,100,58,202,76,120,69,0.59,0.57,0.46,0.48,7.26,1.91,137,41,43.1,41.3,0.68,0.81,6.82,9.64,0.93,31.52,0.83,0.81,20.16,3.18,0.21,0.85,0.12,0.01,0.12,199,13,25,14,13,3,3,14,18,15.3077,15.3077,14.2143,1.0769,1.9231,1.0769,0.2143,0.2308,1,0.2308,1.0769,1,1.3846,1.2857,4
12,2,1.62,4.97,0.0962,10,132,65,100,61,189,78,121,72,0.64,0.6,0.49,0.37,2.58,1.14,132,44,44.4,41.7,0.7,0.89,6.79,9.6,0.93,33.24,0.83,0.89,15.21,2.76,0.14,0.82,0.08,0.01,0.09,182,10,18,11,10,3,3,6,18,18.2,18.2,16.5455,1.1,1.8,1.1,0.2727,0.3,1,0.3,0.6,0.5455,1.8,1.6364,4
20,2,1.59,4.68,0.172,13,135,66,101,62,209,80,125,74,0.6,0.59,0.49,0.64,13.36,2.58,135,44,43.1,42.2,0.65,0.8,6.6,9.34,0.92,28.36,0.81,0.88,25.48,3.57,0.23,0.75,0.14,0.01,0.14,206,13,27,16,13,5,5,11,24,15.8462,15.8462,12.875,1.2308,2.0769,1.2308,0.3125,0.3846,1,0.3846,0.8462,0.6875,1.8462,1.5,4
21,3,1.47,4.45,0.0711,18,166,60,117,56,294,82,155,71,0.53,0.46,0.36,0.47,9.8,2.21,166,44,41.7,41,0.56,0.84,6.85,9.68,0.9,24.54,0.75,0.78,27.22,3.69,0.23,0.69,0.14,0.02,0.16,282,18,45,30,20,12,11,7,25,15.6667,14.1,9.4,1.6667,2.25,1.5,0.4,0.6,1.1111,0.55,0.35,0.2333,1.25,0.8333,4
10,3,1.54,4.63,0.1393,8,95,36,64,32,140,44,79,38,0.56,0.48,0.38,0.52,6.26,1.77,95,40,43.1,42.2,0.68,0.87,5.68,8.03,0.92,27.35,0.81,0.87,17.39,2.95,0.25,0.77,0.11,0.01,0.13,137,8,20,12,8,6,3,8,12,17.125,17.125,11.4167,1.5,2.5,1.5,0.5,0.75,1,0.375,1,0.6667,1.5,1,4
33,4,1.55,4.5,0.1356,26,211,80,160,75,396,111,223,102,0.56,0.46,0.38,0.46,14.63,2.7,211,40,40.2,40.9,0.53,0.83,7.5,10.6,0.89,24.68,0.72,0.77,41.66,4.56,0.24,0.68,0.13,0.02,0.15,390,26,53,31,26,10,7,16,41,15,15,12.5806,1.1923,2.0385,1.1923,0.3226,0.3846,1,0.2692,0.6154,0.5161,1.5769,1.3226,4
9,3,1.44,4.49,0.125,14,108,40,72,37,180,52,97,47,0.54,0.48,0.37,0.33,3,1.22,108,43,42.6,41.2,0.6,0.83,5.69,8.05,0.9,22.93,0.74,0.81,17.93,2.99,0.23,0.71,0.13,0.01,0.14,176,14,25,16,14,5,5,6,16,12.5714,12.5714,11,1.1429,1.7857,1.1429,0.3125,0.3571,1,0.3571,0.4286,0.375,1.1429,1,4
30,5,1.48,4.55,0.125,22,197,97,147,93,418,161,225,148,0.54,0.66,0.49,0.54,22.12,3.33,197,35,40.2,38.4,0.47,0.77,6.81,9.64,0.88,21.03,0.65,0.7,36.96,4.3,0.24,0.58,0.11,0.02,0.13,405,22,49,34,23,14,12,14,43,18.4091,17.6087,11.9118,1.5455,2.1304,1.4783,0.4118,0.6087,1.0455,0.5217,0.6087,0.4118,1.8696,1.2647,4
2,2,1.78,5.33,0.0408,2,51,26,39,25,62,33,47,32,0.76,0.68,0.51,0,0,0,51,43,43,41.1,0.82,0.86,4.58,6.48,0.95,37.88,0.83,1,3,1.22,0.06,0.83,0.04,0,0.04,61,2,5,3,2,1,1,1,8,30.5,30.5,20.3333,1.5,2.5,1.5,0.3333,0.5,1,0.5,0.5,0.3333,4,2.6667,4
49,4,1.58,4.83,0.1034,48,301,119,235,117,701,189,385,183,0.55,0.48,0.4,0.32,13.6,2.61,301,35,42.8,38,0.43,0.79,8.04,11.37,0.87,22.06,0.61,0.56,42.47,4.61,0.2,0.63,0.07,0.02,0.09,695,48,107,72,53,22,17,29,68,14.4792,13.1132,9.6528,1.5,2.0189,1.3585,0.3056,0.4151,1.1042,0.3208,0.5472,0.4028,1.283,0.9444,4
22,4,1.49,4.41,0.1171,16,172,65,115,62,402,127,210,110,0.52,0.52,0.38,0.42,11.22,2.37,172,37,40.2,37.3,0.43,0.71,6.07,8.58,0.86,18.39,0.55,0.63,25.86,3.6,0.2,0.46,0.1,0.01,0.11,388,16,53,37,17,19,9,7,48,24.25,22.8235,10.4865,2.3125,3.1176,2.1765,0.5135,1.1176,1.0625,0.5294,0.4118,0.1892,2.8235,1.2973,4
15,2,1.53,4.68,0.0784,17,154,52,106,50,225,66,128,60,0.57,0.47,0.34,0.45,8.1,2.01,154,46,44.7,42.9,0.68,0.84,7.26,10.27,0.93,33.6,0.83,0.82,27.23,3.69,0.26,0.79,0.14,0.04,0.18,219,17,30,20,17,7,6,6,20,12.8824,12.8824,10.95,1.1765,1.7647,1.1765,0.35,0.4118,1,0.3529,0.3529,0.3,1.1765,1,4
