Filename,TLC/D,ALCL
152.txt,11,3
388.txt,22,4
218.txt,3,2
241.txt,48,3
418.txt,13,3
554.txt,13,3
509.txt,17,4
495.txt,32,4
372.txt,25,4
108.txt,20,2
229.txt,12,2
493.txt,1,2
92.txt,20,2
337.txt,21,3
117.txt,10,3
381.txt,33,4
293.txt,9,3
484.txt,30,5
211.txt,2,2
312.txt,49,4
444.txt,22,4
374.txt,15,2
295.txt,20,3
436.txt,24,2
230.txt,2,2
494.txt,33,4
261.txt,22,2
61.txt,16,3
134.txt,27,3
530.txt,17,3
309.txt,24,3
373.txt,12,2
514.txt,26,4
404.txt,12,2
410.txt,84,7
120.txt,17,3
527.txt,25,3
358.txt,23,3
203.txt,11,2
482.txt,38,3
525.txt,0,0
98.txt,14,2
386.txt,22,3
103.txt,31,3
109.txt,23,3
106.txt,28,3
101.txt,48,3
545.txt,28,4
248.txt,14,2
294.txt,13,2
516.txt,31,4
321.txt,9,2
328.txt,54,5
429.txt,40,3
177.txt,14,3
199.txt,15,3
344.txt,17,3
363.txt,51,6
515.txt,57,6
393.txt,54,6
243.txt,36,4
85.txt,27,3
188.txt,47,4
133.txt,87,6
283.txt,8,2
107.txt,17,2
500.txt,29,4
526.txt,17,3
491.txt,6,2
422.txt,29,3
171.txt,23,4
423.txt,79,4
64.txt,17,3
62.txt,31,3
180.txt,37,5
389.txt,35,4
164.txt,33,3
214.txt,10,2
537.txt,113,5
225.txt,14,2
144.txt,18,3
216.txt,12,2
450.txt,22,3
560.txt,26,4
430.txt,18,2
490.txt,53,4
78.txt,28,2
364.txt,38,4
184.txt,33,4
466.txt,60,6
339.txt,14,2
163.txt,39,5
382.txt,15,2
137.txt,12,3
550.txt,40,5
549.txt,44,5
213.txt,1,2
239.txt,8,2
348.txt,69,4
546.txt,23,4
292.txt,23,3
100.txt,41,3
519.txt,24,3
425.txt,31,3
170.txt,0,0
354.txt,20,2
459.txt,20,2
220.txt,3,2
76.txt,12,3
336.txt,18,4
77.txt,39,3
272.txt,10,2
245.txt,32,2
331.txt,27,3
200.txt,18,3
469.txt,16,4
428.txt,5,2
379.txt,14,2
551.txt,31,5
449.txt,46,3
522.txt,36,9
463.txt,48,5
443.txt,29,4
258.txt,24,3
155.txt,17,4
156.txt,56,5
432.txt,32,3
353.txt,31,4
150.txt,9,2
478.txt,28,6
440.txt,45,5
176.txt,58,5
255.txt,20,2
448.txt,5,2
458.txt,31,3
82.txt,0,0
300.txt,28,4
304.txt,23,20
407.txt,28,4
257.txt,20,2
528.txt,17,3
67.txt,13,3
451.txt,21,4
506.txt,15,2
409.txt,36,4
499.txt,35,4
452.txt,63,5
259.txt,18,3
327.txt,29,4
111.txt,12,3
194.txt,53,6
424.txt,15,4
558.txt,31,3
311.txt,20,3
280.txt,17,3
447.txt,39,7
146.txt,10,2
181.txt,32,4
517.txt,26,3
360.txt,18,3
288.txt,18,3
175.txt,29,3
322.txt,32,4
140.txt,16,2
531.txt,49,4
136.txt,17,2
555.txt,127,8
533.txt,29,3
281.txt,20,3
437.txt,29,3
168.txt,70,4
435.txt,36,4
242.txt,10,2
71.txt,26,5
365.txt,15,3
487.txt,93,6
224.txt,1,2
486.txt,26,3
72.txt,38,4
102.txt,23,3
391.txt,12,2
273.txt,7,2
303.txt,18,8
496.txt,25,4
420.txt,22,2
392.txt,24,4
505.txt,25,3
547.txt,56,8
408.txt,11,2
457.txt,65,4
186.txt,20,2
390.txt,19,3
350.txt,0,0
178.txt,26,3
315.txt,39,3
205.txt,23,3
167.txt,34,3
208.txt,22,3
139.txt,11,2
464.txt,14,2
173.txt,24,3
244.txt,33,4
330.txt,25,3
97.txt,24,2
394.txt,5,2
345.txt,11,2
234.txt,35,3
297.txt,16,2
314.txt,23,3
88.txt,56,4
65.txt,30,3
198.txt,21,2
412.txt,22,2
332.txt,13,2
206.txt,23,2
324.txt,31,5
119.txt,35,4
231.txt,10,2
461.txt,35,3
223.txt,11,2
460.txt,8,2
274.txt,7,2
368.txt,15,2
521.txt,52,4
383.txt,17,3
467.txt,23,2
298.txt,62,4
268.txt,26,3
143.txt,15,3
202.txt,23,3
87.txt,21,3
539.txt,33,3
471.txt,19,3
246.txt,108,5
413.txt,14,2
357.txt,41,3
95.txt,14,2
157.txt,72,5
275.txt,7,2
256.txt,14,2
307.txt,22,22
189.txt,31,3
269.txt,21,3
169.txt,8,2
166.txt,26,3
240.txt,52,4
503.txt,145,13
347.txt,8,2
306.txt,23,35
196.txt,2,2
271.txt,0,0
470.txt,18,2
395.txt,67,4
501.txt,40,4
161.txt,15,4
561.txt,22,2
439.txt,80,7
110.txt,15,3
84.txt,19,3
277.txt,2,3
378.txt,13,2
237.txt,34,3
124.txt,22,4
453.txt,25,3
63.txt,17,3
477.txt,70,9
270.txt,10,2
442.txt,38,5
524.txt,6,2
142.txt,21,3
212.txt,10,2
473.txt,31,4
217.txt,12,2
121.txt,12,2
185.txt,21,3
128.txt,11,2
207.txt,18,2
454.txt,32,3
553.txt,32,3
141.txt,13,2
433.txt,59,5
165.txt,18,2
291.txt,30,3
160.txt,16,2
399.txt,102,5
135.txt,21,2
91.txt,18,2
104.txt,16,3
235.txt,29,3
116.txt,16,2
282.txt,47,4
310.txt,14,3
544.txt,13,3
210.txt,9,3
105.txt,136,6
247.txt,119,6
411.txt,22,3
279.txt,19,3
468.txt,18,3
118.txt,15,3
127.txt,19,2
215.txt,2,2
151.txt,12,2
441.txt,9,2
80.txt,136,7
403.txt,26,4
406.txt,49,4
193.txt,61,6
333.txt,19,2
254.txt,14,2
260.txt,21,2
338.txt,34,3
480.txt,20,3
265.txt,20,2
278.txt,32,4
532.txt,41,4
513.txt,13,3
380.txt,36,3
228.txt,5,2
479.txt,18,3
183.txt,27,4
421.txt,8,2
195.txt,10,2
267.txt,12,3
542.txt,24,3
485.txt,33,3
520.txt,27,4
483.txt,17,2
285.txt,19,4
534.txt,25,3
343.txt,20,3
250.txt,11,2
325.txt,16,2
148.txt,20,3
405.txt,54,7
492.txt,6,2
147.txt,2,2
249.txt,5,2
556.txt,31,4
475.txt,31,5
511.txt,39,7
419.txt,21,2
370.txt,62,5
318.txt,68,5
179.txt,25,3
251.txt,46,3
529.txt,15,3
221.txt,14,2
93.txt,50,4
204.txt,18,3
266.txt,146,6
346.txt,11,2
145.txt,45,4
320.txt,34,4
89.txt,35,3
90.txt,18,2
123.txt,15,3
438.txt,17,4
86.txt,17,2
334.txt,97,6
329.txt,45,4
187.txt,10,2
262.txt,20,3
465.txt,21,4
508.txt,28,5
359.txt,41,3
504.txt,21,4
125.txt,19,3
474.txt,41,5
356.txt,60,6
352.txt,30,3
416.txt,11,3
226.txt,4,2
252.txt,45,3
402.txt,10,2
289.txt,41,5
335.txt,22,3
375.txt,30,5
74.txt,15,5
308.txt,20,3
510.txt,21,3
376.txt,24,3
456.txt,28,3
538.txt,26,3
290.txt,38,3
342.txt,14,2
317.txt,29,4
559.txt,65,6
455.txt,10,2
316.txt,8,2
434.txt,17,3
319.txt,31,3
174.txt,18,3
512.txt,43,4
158.txt,19,3
367.txt,8,2
415.txt,60,5
83.txt,20,2
498.txt,24,3
497.txt,23,4
129.txt,12,2
81.txt,9,2
122.txt,13,2
192.txt,46,4
445.txt,11,2
431.txt,8,2
227.txt,14,2
284.txt,2,2
507.txt,40,6
287.txt,12,3
481.txt,52,7
557.txt,25,3
369.txt,7,2
138.txt,35,6
132.txt,23,3
396.txt,15,2
301.txt,21,28
236.txt,15,2
238.txt,28,3
351.txt,17,3
340.txt,69,7
232.txt,2,2
197.txt,22,3
