Filename,TLC/D,ALCL
152.txt,30,3
388.txt,6,2
218.txt,23,3
241.txt,13,6
51.txt,4,2
418.txt,15,4
59.txt,27,3
495.txt,26,6
372.txt,6,2
108.txt,9,2
229.txt,17,3
493.txt,15,5
42.txt,33,3
92.txt,9,2
337.txt,16,5
117.txt,16,3
23.txt,7,2
381.txt,12,4
44.txt,30,2
293.txt,24,3
484.txt,14,4
211.txt,9,3
7.txt,6,2
312.txt,19,2
444.txt,7,2
374.txt,11,3
295.txt,12,3
436.txt,5,2
230.txt,17,2
494.txt,16,4
261.txt,11,2
61.txt,21,3
12.txt,6,2
16.txt,6,2
134.txt,9,2
309.txt,11,3
28.txt,8,6
373.txt,10,2
404.txt,11,4
410.txt,10,3
120.txt,25,3
358.txt,10,4
52.txt,9,2
38.txt,4,2
203.txt,30,4
482.txt,8,2
27.txt,5,2
98.txt,18,3
386.txt,9,3
103.txt,113,7
109.txt,50,3
106.txt,12,3
101.txt,57,3
248.txt,11,2
294.txt,6,2
321.txt,10,3
22.txt,7,3
328.txt,10,2
429.txt,9,2
177.txt,5,2
199.txt,8,2
344.txt,11,2
363.txt,8,2
393.txt,12,3
13.txt,4,2
243.txt,23,4
85.txt,8,2
36.txt,41,3
188.txt,30,3
58.txt,8,2
26.txt,7,2
133.txt,5,2
283.txt,13,4
107.txt,29,3
500.txt,19,2
491.txt,8,2
422.txt,10,3
171.txt,11,2
423.txt,4,2
64.txt,4,2
40.txt,9,3
62.txt,32,3
180.txt,11,2
389.txt,7,3
164.txt,5,3
53.txt,24,5
214.txt,7,2
225.txt,14,2
144.txt,18,2
216.txt,25,3
450.txt,19,3
430.txt,5,2
39.txt,6,2
490.txt,5,2
78.txt,6,2
364.txt,18,5
184.txt,6,2
466.txt,11,3
339.txt,13,2
46.txt,51,4
163.txt,24,2
382.txt,13,3
137.txt,18,3
213.txt,5,2
239.txt,4,2
348.txt,13,3
24.txt,5,2
292.txt,9,2
100.txt,11,2
425.txt,10,3
170.txt,8,2
354.txt,4,2
459.txt,5,2
220.txt,4,2
76.txt,8,2
336.txt,8,3
77.txt,5,2
272.txt,8,2
245.txt,5,2
331.txt,10,2
200.txt,5,2
469.txt,10,2
55.txt,27,3
428.txt,5,2
379.txt,11,2
449.txt,7,2
463.txt,8,2
443.txt,8,2
258.txt,7,2
155.txt,37,3
156.txt,6,2
432.txt,9,2
353.txt,12,4
150.txt,17,3
32.txt,19,3
478.txt,11,2
440.txt,15,4
176.txt,13,2
255.txt,12,4
448.txt,4,2
458.txt,15,2
82.txt,55,4
300.txt,18,4
304.txt,7,2
407.txt,11,2
257.txt,16,2
67.txt,6,2
451.txt,8,2
409.txt,9,2
499.txt,9,2
452.txt,4,2
259.txt,17,2
327.txt,10,3
111.txt,105,7
194.txt,14,3
424.txt,9,2
311.txt,5,2
47.txt,4,2
280.txt,5,2
447.txt,9,2
146.txt,9,2
181.txt,23,3
360.txt,12,4
288.txt,19,3
49.txt,29,2
175.txt,17,3
322.txt,24,4
140.txt,23,2
136.txt,18,3
281.txt,9,2
437.txt,6,2
168.txt,22,3
435.txt,8,2
242.txt,21,2
71.txt,20,2
365.txt,12,3
487.txt,22,6
224.txt,14,3
72.txt,16,2
102.txt,9,2
391.txt,7,2
273.txt,10,4
303.txt,4,2
496.txt,21,5
420.txt,10,2
392.txt,15,4
17.txt,6,2
408.txt,5,2
457.txt,5,2
186.txt,16,2
390.txt,4,2
350.txt,10,2
48.txt,8,2
178.txt,8,2
315.txt,8,2
205.txt,15,3
167.txt,28,2
208.txt,9,2
139.txt,27,3
464.txt,12,2
173.txt,27,2
244.txt,17,4
330.txt,7,2
97.txt,44,5
394.txt,12,3
25.txt,9,2
345.txt,12,5
234.txt,13,3
297.txt,12,7
314.txt,6,2
88.txt,23,4
65.txt,5,2
198.txt,23,4
412.txt,20,6
332.txt,4,2
206.txt,20,3
324.txt,5,2
119.txt,27,3
231.txt,5,2
461.txt,8,2
223.txt,11,2
460.txt,9,2
274.txt,10,2
368.txt,10,5
3.txt,14,2
383.txt,13,2
467.txt,7,2
298.txt,12,3
268.txt,10,3
143.txt,8,2
202.txt,28,2
87.txt,23,3
471.txt,14,3
246.txt,7,2
413.txt,5,2
357.txt,9,2
37.txt,51,4
95.txt,93,8
157.txt,11,2
275.txt,13,3
10.txt,6,2
256.txt,12,4
307.txt,19,3
189.txt,20,3
6.txt,11,2
269.txt,11,4
169.txt,6,2
166.txt,23,3
240.txt,9,2
347.txt,10,4
306.txt,27,3
196.txt,28,3
271.txt,5,2
43.txt,34,4
470.txt,11,2
395.txt,7,2
161.txt,41,3
439.txt,18,4
57.txt,5,3
110.txt,10,2
84.txt,61,3
277.txt,10,2
378.txt,9,2
237.txt,11,3
124.txt,12,2
453.txt,7,3
63.txt,12,2
477.txt,20,3
270.txt,13,5
442.txt,10,2
142.txt,4,2
212.txt,25,3
20.txt,6,2
473.txt,5,3
19.txt,8,2
33.txt,22,2
217.txt,18,3
121.txt,20,3
185.txt,6,2
128.txt,18,3
207.txt,4,2
454.txt,8,2
141.txt,51,3
433.txt,10,2
165.txt,9,2
291.txt,16,8
160.txt,36,3
399.txt,7,2
15.txt,6,2
135.txt,40,4
91.txt,36,3
104.txt,24,3
235.txt,15,4
116.txt,12,2
282.txt,11,2
310.txt,18,4
210.txt,8,4
105.txt,24,3
247.txt,15,4
411.txt,19,4
279.txt,13,4
468.txt,8,2
118.txt,15,2
2.txt,11,2
127.txt,27,3
215.txt,23,5
151.txt,53,5
441.txt,6,2
9.txt,8,2
80.txt,47,4
403.txt,9,2
406.txt,16,6
193.txt,8,2
333.txt,8,2
254.txt,15,3
260.txt,14,2
338.txt,13,4
480.txt,9,3
265.txt,5,2
278.txt,11,5
380.txt,10,3
228.txt,11,3
479.txt,11,2
183.txt,46,3
421.txt,14,2
195.txt,22,3
267.txt,9,3
483.txt,11,3
285.txt,7,2
60.txt,28,3
343.txt,26,3
250.txt,24,5
325.txt,8,2
148.txt,5,2
405.txt,12,3
21.txt,5,2
29.txt,9,2
492.txt,19,5
50.txt,29,2
147.txt,30,3
249.txt,15,4
475.txt,17,3
30.txt,4,2
54.txt,8,2
41.txt,20,2
419.txt,15,5
370.txt,16,4
34.txt,29,3
318.txt,13,3
179.txt,13,3
251.txt,19,3
221.txt,6,2
93.txt,72,4
204.txt,23,2
266.txt,9,2
14.txt,6,2
346.txt,13,4
145.txt,21,3
320.txt,20,3
89.txt,24,4
90.txt,11,3
123.txt,29,3
438.txt,10,2
1.txt,7,3
86.txt,89,8
334.txt,10,2
329.txt,11,2
187.txt,28,3
262.txt,16,5
465.txt,8,2
359.txt,14,2
125.txt,21,3
474.txt,7,2
356.txt,14,3
352.txt,10,2
416.txt,15,4
226.txt,5,2
252.txt,4,2
402.txt,5,2
289.txt,10,2
335.txt,8,3
375.txt,10,3
74.txt,22,2
308.txt,16,2
376.txt,12,6
456.txt,7,2
290.txt,18,2
342.txt,7,2
317.txt,15,4
455.txt,11,3
316.txt,16,3
434.txt,9,2
319.txt,23,2
174.txt,36,2
158.txt,22,3
367.txt,12,2
415.txt,6,3
35.txt,37,3
83.txt,11,3
498.txt,6,2
497.txt,22,4
129.txt,17,2
81.txt,18,3
122.txt,24,3
192.txt,7,2
18.txt,6,3
445.txt,7,2
431.txt,7,2
227.txt,4,2
284.txt,12,3
287.txt,9,2
481.txt,19,4
369.txt,9,2
138.txt,29,2
132.txt,9,3
396.txt,12,2
301.txt,16,3
236.txt,10,2
238.txt,7,3
351.txt,12,3
340.txt,11,3
45.txt,15,3
232.txt,7,2
197.txt,14,3
276.txt,8,2
126.txt,21,3
426.txt,9,3
115.txt,30,3
355.txt,8,2
75.txt,20,3
401.txt,15,3
162.txt,19,2
191.txt,42,3
31.txt,7,2
4.txt,19,3
70.txt,6,2
398.txt,5,2
361.txt,11,3
427.txt,14,2
233.txt,10,2
341.txt,5,2
113.txt,23,3
417.txt,13,3
8.txt,6,2
362.txt,5,2
114.txt,27,4
253.txt,8,2
472.txt,12,3
131.txt,6,3
96.txt,26,6
264.txt,17,4
371.txt,5,2
489.txt,14,6
219.txt,26,3
476.txt,13,3
414.txt,8,2
209.txt,10,4
377.txt,9,2
154.txt,28,4
305.txt,18,2
326.txt,10,3
190.txt,21,2
149.txt,9,2
397.txt,13,3
302.txt,12,4
349.txt,5,2
286.txt,11,2
387.txt,5,2
172.txt,19,2
446.txt,8,2
323.txt,17,3
182.txt,24,3
384.txt,12,3
99.txt,27,3
462.txt,5,2
159.txt,18,2
313.txt,12,2
385.txt,11,2
153.txt,23,2
130.txt,14,2
68.txt,4,2
400.txt,8,2
222.txt,13,2
94.txt,9,2
201.txt,7,2
299.txt,10,4
73.txt,22,2
263.txt,10,3
66.txt,9,3
56.txt,14,2
69.txt,6,2
366.txt,11,4
79.txt,35,2
11.txt,7,2
112.txt,29,3
5.txt,13,3
296.txt,13,4
