Filename,TLC/D,ALCL
152.txt,26,3
388.txt,11,2
218.txt,23,3
241.txt,26,5
51.txt,5,2
418.txt,1,2
59.txt,5,2
495.txt,13,4
372.txt,4,2
108.txt,4,4
229.txt,4,2
493.txt,5,2
42.txt,11,2
92.txt,6,2
337.txt,13,2
117.txt,21,3
23.txt,5,2
381.txt,6,3
44.txt,7,3
293.txt,9,4
484.txt,7,2
211.txt,2,2
7.txt,8,3
312.txt,4,2
444.txt,12,4
374.txt,13,4
295.txt,11,3
436.txt,7,2
230.txt,23,2
494.txt,12,4
261.txt,14,2
61.txt,8,2
12.txt,9,4
16.txt,21,3
134.txt,11,2
309.txt,12,2
28.txt,11,3
373.txt,18,3
404.txt,9,2
410.txt,5,2
120.txt,21,3
358.txt,22,5
52.txt,6,3
38.txt,7,3
203.txt,8,3
482.txt,6,3
27.txt,9,2
98.txt,7,2
386.txt,21,3
103.txt,8,2
109.txt,10,3
106.txt,8,3
101.txt,6,3
248.txt,27,4
294.txt,3,2
321.txt,4,2
22.txt,7,2
328.txt,1,2
429.txt,12,2
177.txt,5,2
199.txt,27,3
344.txt,11,2
363.txt,25,3
393.txt,20,3
13.txt,8,2
243.txt,6,2
85.txt,7,2
36.txt,11,3
188.txt,8,3
58.txt,7,3
26.txt,5,5
133.txt,6,4
283.txt,6,2
107.txt,34,2
500.txt,1,2
491.txt,6,2
422.txt,28,3
171.txt,29,3
423.txt,7,3
64.txt,48,5
40.txt,8,2
62.txt,13,2
180.txt,6,2
389.txt,8,3
164.txt,3,3
53.txt,26,3
214.txt,5,2
225.txt,11,2
144.txt,16,3
216.txt,16,3
450.txt,1,2
430.txt,8,7
39.txt,21,3
490.txt,10,2
78.txt,22,3
364.txt,17,2
184.txt,22,2
466.txt,12,3
339.txt,12,3
46.txt,10,2
163.txt,8,2
382.txt,3,2
137.txt,24,4
213.txt,4,2
239.txt,5,2
348.txt,1,2
24.txt,8,2
292.txt,22,4
100.txt,2,2
425.txt,6,3
170.txt,16,3
354.txt,7,2
459.txt,8,2
220.txt,16,6
76.txt,21,4
336.txt,4,3
77.txt,8,3
272.txt,4,2
245.txt,11,2
331.txt,12,3
200.txt,23,4
469.txt,21,3
55.txt,12,2
428.txt,9,2
379.txt,1,2
449.txt,9,2
463.txt,13,3
443.txt,6,3
258.txt,22,4
155.txt,14,3
156.txt,4,2
432.txt,9,3
353.txt,14,4
150.txt,16,3
32.txt,17,5
478.txt,21,3
440.txt,18,3
176.txt,13,2
255.txt,24,4
448.txt,8,4
458.txt,12,2
82.txt,6,2
300.txt,22,3
304.txt,12,3
407.txt,4,3
257.txt,4,2
67.txt,19,3
451.txt,5,2
409.txt,10,2
499.txt,14,2
452.txt,15,3
259.txt,3,2
327.txt,10,2
111.txt,17,3
194.txt,4,2
424.txt,12,3
311.txt,11,2
47.txt,7,2
280.txt,2,2
447.txt,8,2
146.txt,4,2
181.txt,12,4
360.txt,27,4
288.txt,2,2
49.txt,3,2
175.txt,4,2
322.txt,4,2
140.txt,30,4
136.txt,5,2
281.txt,5,2
437.txt,8,2
168.txt,4,2
435.txt,16,3
242.txt,6,2
71.txt,7,2
365.txt,14,2
487.txt,14,2
224.txt,10,2
486.txt,15,5
72.txt,20,4
102.txt,7,2
391.txt,12,5
273.txt,17,3
303.txt,4,2
496.txt,32,3
420.txt,17,3
392.txt,8,2
17.txt,9,2
408.txt,14,3
457.txt,24,3
186.txt,14,3
390.txt,18,4
350.txt,9,3
48.txt,7,2
178.txt,14,3
315.txt,7,2
205.txt,25,4
167.txt,11,2
208.txt,5,2
139.txt,24,4
464.txt,9,2
173.txt,29,4
244.txt,17,3
330.txt,6,2
97.txt,5,4
394.txt,14,2
25.txt,3,2
345.txt,7,3
234.txt,10,4
297.txt,6,2
314.txt,9,2
88.txt,16,3
65.txt,23,4
198.txt,17,3
412.txt,6,2
332.txt,8,2
206.txt,8,2
324.txt,15,6
119.txt,23,6
231.txt,31,3
461.txt,19,2
223.txt,5,2
460.txt,11,2
274.txt,17,3
368.txt,12,2
3.txt,7,2
467.txt,17,3
298.txt,12,3
268.txt,4,2
143.txt,2,2
202.txt,5,2
87.txt,23,4
471.txt,17,4
246.txt,18,4
413.txt,10,2
357.txt,12,4
37.txt,12,3
95.txt,3,2
157.txt,10,3
275.txt,5,3
10.txt,8,2
256.txt,20,3
307.txt,16,3
189.txt,22,4
6.txt,5,3
269.txt,8,2
169.txt,3,2
166.txt,16,3
240.txt,4,3
347.txt,23,3
306.txt,5,2
196.txt,6,3
271.txt,15,3
43.txt,5,2
470.txt,12,2
395.txt,3,3
161.txt,13,5
439.txt,13,3
57.txt,7,3
110.txt,25,2
84.txt,42,5
277.txt,3,2
378.txt,13,2
237.txt,2,2
124.txt,5,3
453.txt,9,5
63.txt,10,3
477.txt,9,2
270.txt,19,4
442.txt,17,2
142.txt,13,5
212.txt,19,4
20.txt,10,2
473.txt,3,2
19.txt,26,4
33.txt,7,2
217.txt,20,3
121.txt,17,3
185.txt,26,3
128.txt,4,3
207.txt,22,4
454.txt,20,2
141.txt,11,3
433.txt,12,2
165.txt,7,4
291.txt,7,4
160.txt,13,6
399.txt,15,3
15.txt,8,2
135.txt,1,2
91.txt,5,2
104.txt,1,2
235.txt,2,2
116.txt,15,3
282.txt,17,3
310.txt,8,2
210.txt,14,3
105.txt,9,3
247.txt,19,4
411.txt,2,2
279.txt,24,3
468.txt,15,3
118.txt,8,4
2.txt,17,3
127.txt,24,4
215.txt,1,2
151.txt,3,2
441.txt,5,2
9.txt,11,3
80.txt,11,3
403.txt,4,2
406.txt,4,2
193.txt,15,3
333.txt,24,2
254.txt,4,2
260.txt,3,2
338.txt,12,4
480.txt,9,2
265.txt,26,2
278.txt,3,2
380.txt,5,2
228.txt,20,3
479.txt,16,3
183.txt,3,2
421.txt,15,2
195.txt,3,2
267.txt,15,4
485.txt,17,3
483.txt,28,3
285.txt,19,2
60.txt,12,4
343.txt,18,3
250.txt,18,3
325.txt,26,5
148.txt,30,5
405.txt,15,3
21.txt,10,2
29.txt,9,2
492.txt,5,2
50.txt,5,2
147.txt,22,3
249.txt,15,4
475.txt,31,3
30.txt,7,3
54.txt,5,2
41.txt,7,2
419.txt,18,3
370.txt,24,3
34.txt,5,2
318.txt,5,2
179.txt,16,4
251.txt,5,2
221.txt,2,2
93.txt,3,2
204.txt,16,2
266.txt,19,3
14.txt,4,3
346.txt,4,2
145.txt,28,3
320.txt,3,2
89.txt,5,2
90.txt,8,2
123.txt,21,4
438.txt,20,3
1.txt,25,4
86.txt,8,3
334.txt,3,2
329.txt,13,3
187.txt,9,3
262.txt,5,3
465.txt,19,5
359.txt,8,4
125.txt,24,5
474.txt,11,2
356.txt,14,3
352.txt,9,2
416.txt,16,4
226.txt,13,2
252.txt,7,2
402.txt,1,4
289.txt,5,2
335.txt,14,3
375.txt,26,4
74.txt,17,3
308.txt,23,3
376.txt,8,3
456.txt,7,2
290.txt,8,4
342.txt,7,2
317.txt,5,2
455.txt,6,2
316.txt,9,4
434.txt,6,2
319.txt,11,3
174.txt,14,4
158.txt,17,3
367.txt,9,4
415.txt,3,3
35.txt,12,3
83.txt,12,2
498.txt,18,3
497.txt,13,2
129.txt,18,2
81.txt,11,3
122.txt,26,3
192.txt,22,3
18.txt,8,2
445.txt,8,2
431.txt,10,3
227.txt,3,2
284.txt,15,4
287.txt,11,2
481.txt,11,2
369.txt,23,2
138.txt,13,6
132.txt,8,3
396.txt,3,2
301.txt,9,3
236.txt,3,3
238.txt,21,4
351.txt,12,2
340.txt,6,2
45.txt,12,2
232.txt,28,3
197.txt,7,2
276.txt,28,5
126.txt,23,3
426.txt,20,3
115.txt,8,4
355.txt,5,2
75.txt,11,3
401.txt,16,3
162.txt,5,3
191.txt,3,2
31.txt,25,3
4.txt,9,2
70.txt,13,7
398.txt,22,4
361.txt,12,3
427.txt,18,3
233.txt,20,4
341.txt,9,2
113.txt,18,3
417.txt,11,3
8.txt,9,2
362.txt,23,3
114.txt,17,5
253.txt,23,3
472.txt,7,2
131.txt,19,3
96.txt,15,5
264.txt,6,2
371.txt,23,2
489.txt,17,2
219.txt,17,2
476.txt,10,2
414.txt,2,2
209.txt,2,2
377.txt,3,3
154.txt,7,2
305.txt,6,3
326.txt,28,3
190.txt,9,3
149.txt,7,3
397.txt,12,3
302.txt,17,3
349.txt,10,3
286.txt,10,3
387.txt,12,2
172.txt,8,2
446.txt,23,4
323.txt,12,2
182.txt,23,4
384.txt,26,3
99.txt,6,3
462.txt,6,2
159.txt,20,3
313.txt,11,3
385.txt,10,2
153.txt,9,3
130.txt,4,2
68.txt,24,4
400.txt,13,3
222.txt,6,2
94.txt,5,2
201.txt,25,4
488.txt,10,3
299.txt,7,3
73.txt,7,3
263.txt,7,2
66.txt,14,5
56.txt,15,3
69.txt,9,3
366.txt,4,3
79.txt,21,4
11.txt,8,2
112.txt,9,3
5.txt,8,3
296.txt,5,2
