Filename,TLC/D,ALCL
152.txt,13,2
388.txt,14,3
218.txt,18,3
241.txt,27,5
51.txt,5,2
418.txt,14,4
59.txt,5,2
495.txt,9,2
372.txt,11,2
108.txt,2,2
229.txt,17,3
493.txt,28,3
42.txt,10,2
92.txt,6,2
337.txt,5,2
117.txt,1,2
23.txt,1,2
381.txt,11,2
44.txt,11,3
293.txt,15,2
484.txt,25,3
211.txt,24,4
7.txt,8,3
312.txt,11,3
444.txt,21,3
374.txt,7,2
295.txt,15,2
436.txt,8,3
230.txt,10,3
494.txt,25,2
261.txt,18,4
61.txt,5,2
12.txt,41,4
16.txt,7,3
134.txt,24,4
309.txt,23,3
28.txt,7,6
373.txt,13,2
404.txt,9,2
410.txt,20,3
120.txt,3,2
358.txt,18,4
52.txt,22,3
38.txt,3,2
203.txt,7,2
482.txt,13,4
27.txt,16,3
98.txt,3,2
386.txt,17,5
103.txt,5,2
109.txt,9,2
106.txt,1,2
101.txt,8,2
248.txt,21,3
294.txt,13,2
321.txt,25,5
22.txt,5,2
328.txt,12,2
429.txt,9,2
177.txt,19,3
199.txt,7,3
344.txt,13,3
363.txt,5,2
393.txt,20,2
13.txt,16,4
243.txt,23,4
85.txt,3,2
36.txt,7,2
188.txt,23,7
58.txt,7,3
26.txt,12,3
133.txt,5,3
283.txt,15,2
107.txt,7,2
500.txt,12,3
491.txt,28,3
171.txt,12,2
423.txt,24,3
64.txt,3,2
40.txt,7,3
62.txt,3,2
180.txt,12,3
389.txt,8,2
164.txt,24,4
53.txt,7,2
214.txt,20,3
225.txt,18,4
144.txt,13,2
216.txt,8,3
450.txt,19,3
430.txt,22,3
39.txt,8,4
490.txt,14,2
78.txt,8,2
364.txt,10,2
184.txt,5,2
466.txt,23,4
339.txt,27,5
46.txt,12,2
163.txt,22,5
382.txt,10,3
137.txt,5,4
213.txt,9,3
239.txt,10,2
348.txt,10,3
24.txt,19,3
292.txt,17,2
100.txt,6,3
425.txt,7,4
170.txt,8,2
354.txt,17,5
459.txt,20,5
220.txt,9,3
76.txt,7,2
336.txt,13,3
77.txt,6,2
272.txt,10,3
245.txt,16,3
331.txt,9,2
200.txt,23,3
469.txt,10,2
55.txt,5,2
428.txt,11,2
379.txt,9,3
449.txt,14,3
463.txt,8,2
443.txt,24,4
258.txt,12,3
155.txt,11,2
156.txt,7,3
432.txt,12,3
353.txt,15,2
150.txt,10,2
32.txt,6,2
478.txt,9,3
440.txt,16,3
176.txt,9,3
255.txt,22,2
448.txt,11,3
458.txt,16,2
82.txt,25,4
300.txt,8,2
304.txt,8,2
407.txt,6,2
257.txt,20,5
67.txt,7,3
451.txt,8,2
409.txt,7,2
499.txt,21,3
452.txt,10,3
259.txt,9,3
327.txt,15,4
111.txt,24,3
194.txt,12,3
424.txt,22,3
311.txt,12,3
47.txt,4,2
280.txt,28,3
447.txt,15,3
146.txt,10,2
181.txt,11,3
360.txt,10,4
288.txt,25,3
49.txt,5,2
175.txt,19,2
322.txt,10,3
140.txt,9,3
136.txt,10,2
281.txt,17,4
437.txt,25,3
168.txt,7,2
435.txt,16,4
242.txt,29,3
71.txt,6,2
365.txt,18,3
487.txt,21,4
224.txt,18,3
486.txt,25,4
72.txt,21,4
102.txt,16,5
391.txt,16,2
303.txt,10,2
496.txt,6,2
420.txt,23,3
392.txt,10,2
17.txt,9,3
408.txt,14,4
457.txt,5,4
186.txt,23,3
390.txt,28,3
350.txt,28,4
48.txt,9,2
178.txt,9,2
315.txt,26,3
205.txt,15,2
167.txt,25,4
208.txt,9,2
139.txt,15,3
464.txt,8,3
173.txt,6,2
244.txt,11,2
330.txt,21,3
97.txt,12,2
394.txt,28,4
25.txt,14,3
345.txt,12,2
234.txt,9,3
297.txt,6,2
314.txt,11,2
88.txt,11,2
65.txt,13,2
198.txt,9,3
412.txt,12,2
332.txt,21,3
206.txt,11,4
324.txt,13,3
119.txt,2,2
231.txt,19,3
461.txt,7,2
223.txt,14,2
460.txt,8,3
274.txt,13,2
368.txt,8,2
3.txt,12,3
383.txt,21,4
467.txt,15,2
298.txt,18,3
268.txt,11,2
143.txt,17,4
202.txt,24,3
87.txt,3,2
471.txt,10,4
246.txt,11,3
413.txt,13,2
357.txt,19,2
37.txt,12,4
95.txt,17,3
157.txt,21,4
275.txt,22,3
10.txt,22,4
256.txt,9,2
307.txt,26,3
189.txt,29,3
6.txt,11,3
269.txt,14,2
169.txt,7,3
166.txt,18,3
240.txt,13,2
347.txt,22,3
306.txt,26,4
196.txt,11,3
271.txt,34,4
43.txt,8,3
470.txt,9,2
395.txt,11,4
161.txt,7,2
439.txt,25,3
57.txt,8,2
110.txt,7,2
84.txt,21,3
277.txt,8,3
378.txt,23,4
237.txt,11,2
124.txt,13,4
453.txt,8,2
63.txt,21,2
477.txt,12,2
270.txt,16,2
442.txt,10,2
142.txt,32,3
212.txt,20,3
20.txt,16,4
473.txt,10,2
19.txt,5,2
33.txt,10,2
217.txt,19,3
121.txt,2,2
185.txt,16,11
128.txt,28,3
207.txt,12,3
454.txt,24,3
141.txt,13,3
433.txt,21,4
165.txt,6,2
291.txt,25,3
160.txt,17,5
399.txt,12,2
15.txt,16,3
135.txt,8,3
91.txt,5,2
104.txt,6,2
235.txt,19,3
116.txt,2,2
282.txt,26,3
310.txt,7,3
210.txt,9,5
105.txt,48,5
247.txt,11,2
411.txt,28,3
279.txt,13,2
468.txt,31,3
118.txt,5,3
2.txt,13,4
127.txt,12,3
215.txt,3,3
151.txt,16,5
441.txt,9,2
9.txt,21,2
80.txt,2,2
403.txt,20,4
406.txt,16,2
193.txt,9,2
333.txt,15,2
254.txt,18,2
260.txt,20,3
338.txt,11,2
480.txt,13,3
265.txt,11,3
278.txt,11,3
380.txt,7,2
228.txt,12,3
479.txt,5,3
183.txt,10,2
421.txt,28,4
