,Filename,TLC/D,ALCL, numsyl, avgchar,awl,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,class_y,NP/S,VP/S,PP/S,NPlen,VPlen,PPlen,cli,fks
0,152.txt,30,3,1.33,4.19,0.0528,41,265,81,194,71,637,128,310,104,0.49,0.34,0.31,0.19,4.17,1.44,265,39,42.3,38.9,0.42,0.77,7.42,10.5,0.86,20.64,0.63,0.56,36.42,4.27,0.21,0.65,0.14,0.04,0.18,631,41,109,63,43,26,20,17,47,15.3902,14.6744,10.0159,1.5366,2.5349,1.4651,0.4127,0.6047,1.0488,0.4651,0.3953,0.2698,1.093,0.746,5,4.76,2.63,1.17,1.69,1.98,1.02,9.769,57.426
1,388.txt,6,2,1.38,4.15,0.1,10,96,33,54,31,164,45,75,41,0.46,0.55,0.34,0.35,3.9,1.4,96,40,41.6,32.4,0.59,0.77,5.3,7.5,0.89,21.09,0.72,0.71,15.61,2.79,0.29,0.69,0.13,0.0,0.13,162,10,28,14,12,5,6,6,12,16.2,13.5,11.5714,1.4,2.3333,1.1667,0.3571,0.4167,1.2,0.5,0.5,0.4286,1.0,0.8571,5,4.6,2.5,1.1,2.11,1.76,1.0,7.596,58.059
2,218.txt,23,3,1.4,4.26,0.0376,31,188,58,127,52,412,104,203,90,0.49,0.44,0.31,0.27,6.3,1.77,188,38,41.7,42.4,0.46,0.82,6.55,9.26,0.87,20.07,0.63,0.52,23.05,3.39,0.22,0.66,0.13,0.04,0.17,400,31,65,45,31,14,12,12,39,12.9032,12.9032,8.8889,1.4516,2.0968,1.4516,0.3111,0.4516,1.0,0.3871,0.3871,0.2667,1.2581,0.8667,5,4.39,2.13,1.03,1.65,1.65,1.0,10.337,51.13
3,241.txt,13,6,1.39,4.28,0.1045,19,114,38,66,35,265,87,131,82,0.49,0.63,0.33,0.28,3.1,1.25,114,31,38.0,34.4,0.43,0.67,4.95,7.0,0.85,16.03,0.5,0.51,10.26,2.26,0.15,0.47,0.09,0.01,0.1,266,19,38,29,16,8,5,3,28,14.0,16.625,9.1724,1.5263,2.375,1.8125,0.2759,0.5,0.8421,0.3125,0.1875,0.1034,1.75,0.9655,5,4.84,1.84,1.37,1.77,1.66,1.0,8.414,56.042
4,51.txt,4,2,1.41,4.36,0.1522,6,66,18,39,16,102,25,51,21,0.5,0.41,0.27,0.33,2.0,1.0,66,40,40.4,39.2,0.65,0.75,4.62,6.53,0.91,21.34,0.76,0.89,14.22,2.67,0.31,0.65,0.16,0.0,0.16,98,6,18,10,6,5,5,1,9,16.3333,16.3333,9.8,1.6667,3.0,1.6667,0.5,0.8333,1.0,0.8333,0.1667,0.1,1.5,0.9,5,4.67,2.67,1.17,1.68,2.0,1.0,10.06,52.697
5,418.txt,15,4,1.59,4.81,0.0935,13,86,34,58,32,172,60,101,56,0.59,0.55,0.4,0.31,3.12,1.25,86,25,40.1,31.7,0.5,0.66,4.64,6.56,0.87,16.6,0.57,0.56,10.12,2.25,0.18,0.54,0.1,0.01,0.11,168,13,33,19,15,4,4,3,12,12.9231,11.2,8.8421,1.4615,2.2,1.2667,0.2105,0.2667,1.1538,0.2667,0.2,0.1579,0.8,0.6316,5,4.92,2.23,1.15,1.61,1.41,1.0,13.004,38.704
6,59.txt,27,3,1.4,4.26,0.1133,21,163,53,120,50,324,71,169,66,0.52,0.39,0.33,0.34,6.78,1.84,163,40,38.6,36.4,0.5,0.76,6.4,9.06,0.88,21.13,0.71,0.68,27.12,3.68,0.24,0.69,0.1,0.03,0.13,320,21,46,34,21,13,12,9,31,15.2381,15.2381,9.4118,1.619,2.1905,1.619,0.3824,0.619,1.0,0.5714,0.4286,0.2647,1.4762,0.9118,5,4.81,2.19,1.29,1.87,2.02,1.11,10.391,50.785
7,495.txt,26,6,1.55,4.47,0.0683,14,124,43,84,40,230,75,131,69,0.57,0.53,0.35,0.23,1.83,0.96,124,38,40.8,35.2,0.54,0.75,5.78,8.18,0.89,20.79,0.64,0.54,10.31,2.27,0.15,0.66,0.14,0.02,0.15,225,14,34,26,14,12,7,5,28,16.0714,16.0714,8.6538,1.8571,2.4286,1.8571,0.4615,0.8571,1.0,0.5,0.3571,0.1923,2.0,1.0769,5,5.36,2.43,1.36,1.71,1.59,1.0,11.36,40.775
8,372.txt,6,2,1.47,4.48,0.1287,10,80,27,51,24,114,36,63,31,0.55,0.49,0.34,0.35,2.12,1.03,80,45,42.3,41.7,0.7,0.83,5.3,7.49,0.93,27.51,0.81,0.88,13.24,2.57,0.24,0.76,0.16,0.0,0.16,110,10,19,14,10,5,5,2,13,11.0,11.0,7.8571,1.4,1.9,1.4,0.3571,0.5,1.0,0.5,0.2,0.1429,1.3,0.9286,5,3.1,1.7,0.9,1.9,1.71,1.0,11.64,40.822
9,108.txt,9,2,1.56,4.74,0.2791,10,92,38,63,35,145,52,87,47,0.6,0.54,0.41,0.41,4.97,1.58,92,36,42.1,41.6,0.63,0.82,5.4,7.64,0.91,23.64,0.72,0.76,16.69,2.89,0.25,0.73,0.14,0.03,0.17,141,10,23,13,8,7,4,4,17,14.1,17.625,10.8462,1.3,2.875,1.625,0.5385,0.875,0.8,0.5,0.5,0.3077,2.125,1.3077,5,3.9,2.2,1.1,1.85,1.73,1.0,12.841,38.319
