,Filename,TLC/D,ALCL, numsyl, avgchar,awl,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,class_y,NP/S,VP/S,PP/S,NPlen,VPlen,PPlen,cli,fks
0,152.txt,13,3,1.46,4.33,0.0145,14,92,46,62,45,154,68,90,67,0.58,0.74,0.5,0.5,7.0,1.87,92,33,39.0,36.6,0.6,0.75,5.24,7.41,0.9,21.39,0.69,0.61,10.32,2.27,0.19,0.7,0.08,0.02,0.1,154,14,20,20,15,5,6,2,18,11.0,10.2667,7.7,1.4286,1.3333,1.3333,0.25,0.3333,1.0714,0.4,0.1333,0.1,1.2,0.9,3,3.79,1.64,1.5,1.89,1.43,1.0,10.433,44.482
1,388.txt,11,2,1.53,4.63,0.04,13,118,50,76,44,197,74,111,65,0.56,0.59,0.42,0.55,8.83,2.1,118,43,40.1,42.2,0.6,0.83,5.94,8.41,0.9,23.65,0.68,0.72,15.21,2.76,0.19,0.65,0.1,0.03,0.13,191,13,29,25,14,10,7,3,22,14.6923,13.6429,7.64,1.9231,2.0714,1.7857,0.4,0.7143,1.0769,0.5,0.2143,0.12,1.5714,0.88,3,4.77,2.08,1.15,1.98,1.59,1.0,11.915,40.447
2,218.txt,7,3,1.39,4.11,0.0189,8,69,29,40,27,114,42,53,38,0.46,0.72,0.42,0.5,5.0,1.58,69,40,39.7,38.8,0.61,0.78,4.57,6.46,0.89,19.4,0.75,0.85,14.45,2.69,0.32,0.67,0.04,0.02,0.06,110,8,20,18,10,5,4,2,11,13.75,11.0,6.1111,2.25,2.0,1.8,0.2778,0.5,1.25,0.4,0.2,0.1111,1.1,0.6111,3,4.63,2.25,1.0,1.73,1.67,1.0,9.647,50.829
3,241.txt,11,3,1.65,5.09,0.0598,14,131,59,86,54,203,80,111,73,0.55,0.66,0.45,0.65,12.9,2.54,131,38,42.3,41.9,0.65,0.84,6.5,9.19,0.92,27.99,0.77,0.9,25.29,3.56,0.25,0.7,0.08,0.02,0.1,197,14,27,22,14,7,6,4,14,14.0714,14.0714,8.9545,1.5714,1.9286,1.5714,0.3182,0.5,1.0,0.4286,0.2857,0.1818,1.0,0.6364,3,5.46,2.15,1.62,1.97,1.36,1.0,14.532,32.188
4,51.txt,37,4,1.44,4.47,0.0026,31,214,84,144,78,430,130,237,115,0.55,0.49,0.39,0.46,12.36,2.49,214,37,40.7,36.9,0.5,0.76,7.3,10.32,0.88,22.88,0.61,0.75,32.81,4.05,0.19,0.57,0.1,0.01,0.11,422,31,56,47,33,13,11,6,47,13.6129,12.7879,8.9787,1.5161,1.697,1.4242,0.2766,0.3939,1.0645,0.3333,0.1818,0.1277,1.4242,1.0,3,4.6,1.87,1.43,1.85,1.5,1.0,11.464,47.568
5,418.txt,19,3,1.42,4.41,0.0097,24,165,62,114,60,336,112,186,110,0.55,0.59,0.38,0.33,7.0,1.87,165,43,41.2,40.3,0.49,0.8,6.37,9.0,0.88,20.66,0.61,0.6,22.92,3.39,0.2,0.6,0.08,0.04,0.12,334,24,53,41,25,14,12,11,26,13.9167,13.36,8.1463,1.7083,2.12,1.64,0.3415,0.56,1.0417,0.48,0.44,0.2683,1.04,0.6341,3,4.46,2.42,0.96,1.68,1.67,1.0,10.996,49.863
6,59.txt,16,3,1.37,4.31,0.0338,18,138,45,88,39,253,50,129,42,0.51,0.33,0.33,0.46,7.31,1.91,138,44,40.3,41.1,0.55,0.8,6.13,8.68,0.89,21.94,0.68,0.86,25.71,3.59,0.23,0.59,0.06,0.03,0.09,247,18,38,24,16,11,7,8,17,13.7222,15.4375,10.2917,1.3333,2.375,1.5,0.4583,0.6875,0.8889,0.4375,0.5,0.3333,1.0625,0.7083,3,5.06,2.56,1.31,1.86,1.63,1.0,10.234,54.687
7,495.txt,57,5,1.56,4.82,0.0663,43,333,158,255,151,697,272,408,240,0.59,0.59,0.47,0.37,18.38,3.03,333,45,43.2,43.3,0.48,0.83,8.92,12.61,0.89,25.2,0.62,0.63,54.38,5.21,0.21,0.65,0.1,0.02,0.12,679,43,98,75,43,26,17,24,92,15.7907,15.7907,9.0533,1.7442,2.2791,1.7442,0.3467,0.6047,1.0,0.3953,0.5581,0.32,2.1395,1.2267,3,5.45,2.55,1.4,1.67,1.68,1.0,12.522,41.845
8,372.txt,18,3,1.57,4.89,0.1838,10,85,41,55,38,163,72,90,63,0.55,0.7,0.48,0.65,7.12,1.89,85,36,37.0,34.6,0.52,0.69,4.71,6.66,0.87,17.31,0.61,0.76,9.94,2.23,0.14,0.58,0.06,0.01,0.07,161,10,14,13,12,1,1,5,23,16.1,13.4167,12.3846,1.3,1.1667,1.0833,0.0769,0.0833,1.2,0.0833,0.4167,0.3846,1.9167,1.7692,3,4.4,1.5,1.7,2.25,1.6,1.0,12.245,41.239
9,108.txt,24,4,1.46,4.46,0.0535,48,232,104,155,96,450,158,235,146,0.52,0.62,0.45,0.43,16.41,2.86,232,38,41.7,37.0,0.52,0.76,7.73,10.94,0.89,24.47,0.66,0.61,33.14,4.07,0.23,0.68,0.06,0.01,0.07,448,48,73,63,48,16,14,10,31,9.3333,9.3333,7.1111,1.3125,1.5208,1.3125,0.254,0.3333,1.0,0.2917,0.2083,0.1587,0.6458,0.4921,3,3.27,1.56,0.69,1.71,1.65,1.0,11.351,40.799
