Filename, numsyl, avgchar,lentok,ttr,awl,class
76.txt, 1.46, 4.47, 173, 0.1224, 0.2517, 5
242.txt, 1.52, 4.6, 260, 0.0891, 0.1535, 5
250.txt, 1.45, 4.22, 446, 0.0472, 0.1062, 5
132.txt, 1.48, 4.48, 115, 0.16, 0.15, 5
454.txt, 1.58, 4.56, 148, 0.1382, 0.1301, 5
20.txt, 1.4, 4.33, 122, 0.1389, 0.1204, 5
498.txt, 1.43, 4.35, 112, 0.1649, 0.134, 5
395.txt, 1.44, 4.33, 139, 0.1282, 0.1538, 5
14.txt, 1.38, 4.29, 119, 0.1442, 0.125, 5
418.txt, 1.59, 4.81, 182, 0.1079, 0.0935, 5
143.txt, 1.42, 4.35, 145, 0.136, 0.152, 5
365.txt, 1.36, 4.14, 240, 0.0891, 0.0644, 5
27.txt, 1.58, 4.57, 105, 0.1667, 0.2222, 5
285.txt, 1.49, 4.42, 105, 0.1648, 0.1648, 5
138.txt, 1.31, 4.19, 416, 0.0546, 0.0603, 5
233.txt, 1.5, 4.43, 185, 0.1176, 0.1242, 5
85.txt, 1.46, 4.52, 143, 0.121, 0.25, 5
70.txt, 1.47, 4.38, 119, 0.16, 0.13, 5
55.txt, 1.39, 4.26, 504, 0.0413, 0.0688, 5
419.txt, 1.54, 4.67, 192, 0.1007, 0.0872, 5
38.txt, 1.45, 4.42, 100, 0.1705, 0.1477, 5
499.txt, 1.5, 4.52, 117, 0.1386, 0.1485, 5
86.txt, 1.36, 4.19, 1598, 0.0131, 0.029, 5
294.txt, 1.45, 4.34, 104, 0.1648, 0.1868, 5
157.txt, 1.48, 4.68, 155, 0.1462, 0.1615, 5
348.txt, 1.38, 4.28, 198, 0.109, 0.0833, 5
453.txt, 1.47, 4.35, 197, 0.1059, 0.0941, 5
241.txt, 1.39, 4.28, 282, 0.0773, 0.1045, 5
367.txt, 1.53, 4.53, 173, 0.1259, 0.0963, 5
299.txt, 1.45, 4.43, 179, 0.1034, 0.1379, 5
326.txt, 1.39, 4.21, 173, 0.131, 0.1448, 5
37.txt, 1.34, 4.18, 869, 0.0232, 0.0683, 5
234.txt, 1.46, 4.27, 241, 0.0895, 0.0842, 5
107.txt, 1.51, 4.56, 384, 0.0539, 0.1407, 5
74.txt, 1.51, 4.52, 338, 0.0669, 0.1127, 5
427.txt, 1.46, 4.34, 183, 0.1053, 0.1053, 5
61.txt, 1.46, 4.48, 369, 0.0536, 0.1262, 5
460.txt, 1.47, 4.41, 150, 0.126, 0.126, 5
442.txt, 1.39, 4.08, 134, 0.1345, 0.1092, 5
30.txt, 1.45, 4.37, 103, 0.1648, 0.2198, 5
342.txt, 1.44, 4.47, 139, 0.125, 0.1333, 5
229.txt, 1.48, 4.44, 309, 0.0776, 0.0898, 5
270.txt, 1.36, 4.0, 415, 0.0804, 0.1116, 5
93.txt, 1.25, 4.05, 1411, 0.0153, 0.0409, 5
199.txt, 1.45, 4.55, 137, 0.1186, 0.178, 5
111.txt, 1.43, 4.36, 1999, 0.0116, 0.0506, 5
183.txt, 1.43, 4.34, 816, 0.0281, 0.0656, 5
421.txt, 1.55, 4.67, 147, 0.1349, 0.1032, 5
168.txt, 1.31, 4.09, 488, 0.0462, 0.0633, 5
476.txt, 1.56, 4.7, 204, 0.0909, 0.125, 5
52.txt, 1.46, 4.43, 144, 0.12, 0.144, 5
141.txt, 1.34, 4.18, 734, 0.0329, 0.0872, 5
280.txt, 1.43, 4.31, 98, 0.186, 0.1744, 5
364.txt, 1.37, 4.25, 399, 0.0704, 0.0563, 5
478.txt, 1.48, 4.6, 133, 0.1622, 0.1261, 5
47.txt, 1.4, 4.25, 101, 0.1685, 0.191, 5
184.txt, 1.47, 4.47, 111, 0.1563, 0.2083, 5
195.txt, 1.47, 4.43, 353, 0.0606, 0.1044, 5
105.txt, 1.49, 4.5, 354, 0.0592, 0.1414, 5
394.txt, 1.46, 4.49, 193, 0.1013, 0.1013, 5
248.txt, 1.38, 3.99, 181, 0.1135, 0.1206, 5
497.txt, 1.49, 4.46, 261, 0.0798, 0.0798, 5
313.txt, 1.54, 4.57, 200, 0.109, 0.1282, 5
24.txt, 1.52, 4.46, 108, 0.1596, 0.1489, 5
332.txt, 1.45, 4.41, 100, 0.1705, 0.1477, 5
103.txt, 1.46, 4.38, 2210, 0.0108, 0.0399, 5
296.txt, 1.41, 4.45, 273, 0.0957, 0.0957, 5
43.txt, 1.43, 4.33, 550, 0.0415, 0.0764, 5
69.txt, 1.52, 4.53, 114, 0.1684, 0.1368, 5
482.txt, 1.5, 4.42, 107, 0.163, 0.1413, 5
366.txt, 1.52, 4.48, 197, 0.1184, 0.0855, 5
149.txt, 1.44, 4.36, 146, 0.1349, 0.1508, 5
292.txt, 1.6, 4.84, 144, 0.124, 0.157, 5
235.txt, 1.45, 4.13, 295, 0.0931, 0.0931, 5
89.txt, 1.43, 4.31, 448, 0.046, 0.0921, 5
198.txt, 1.45, 4.48, 389, 0.0572, 0.0663, 5
101.txt, 1.32, 4.23, 979, 0.028, 0.0445, 5
129.txt, 1.42, 4.31, 326, 0.0641, 0.0854, 5
491.txt, 1.5, 4.48, 138, 0.1282, 0.1709, 5
485.txt, 1.54, 4.58, 394, 0.0554, 0.0904, 5
390.txt, 1.43, 4.29, 102, 0.1778, 0.1444, 5
462.txt, 1.41, 4.23, 103, 0.1758, 0.1429, 5
106.txt, 1.44, 4.51, 196, 0.1071, 0.2202, 5
277.txt, 1.48, 4.41, 206, 0.126, 0.1024, 5
151.txt, 1.47, 4.57, 766, 0.027, 0.042, 5
122.txt, 1.33, 4.14, 604, 0.034, 0.0359, 5
417.txt, 1.43, 4.31, 216, 0.0838, 0.0785, 5
343.txt, 1.43, 4.2, 345, 0.0671, 0.0495, 5
276.txt, 1.43, 4.35, 149, 0.1304, 0.113, 5
264.txt, 1.43, 4.44, 265, 0.0789, 0.0746, 5
140.txt, 1.34, 4.34, 316, 0.0593, 0.1074, 5
102.txt, 1.44, 4.54, 149, 0.126, 0.2913, 5
401.txt, 1.41, 4.0, 313, 0.0769, 0.0769, 5
374.txt, 1.47, 4.36, 228, 0.0918, 0.0969, 5
493.txt, 1.53, 4.63, 238, 0.0743, 0.2475, 5
467.txt, 1.45, 4.46, 107, 0.172, 0.1398, 5
324.txt, 1.4, 4.22, 99, 0.1724, 0.1609, 5
152.txt, 1.33, 4.19, 678, 0.0307, 0.0528, 5
