Filename, numsyl, avgchar,lentok,ttr,awl,class
76.txt, 1.52, 4.59, 490, 0.0476, 0.0175, 3
242.txt, 1.49, 4.35, 362, 0.0584, 0.0325, 3
250.txt, 1.54, 4.5, 249, 0.0849, 0.0047, 3
132.txt, 1.45, 4.46, 402, 0.0536, 0.0119, 3
454.txt, 1.65, 4.96, 459, 0.0521, 0.0495, 3
20.txt, 1.51, 4.46, 408, 0.054, 0.0313, 3
498.txt, 1.46, 4.53, 347, 0.0632, 0.0175, 3
395.txt, 1.49, 4.54, 448, 0.0514, 0.0973, 3
14.txt, 1.48, 4.65, 224, 0.087, 0.0435, 3
418.txt, 1.42, 4.41, 354, 0.0615, 0.0097, 3
143.txt, 1.41, 4.57, 508, 0.0444, 0.0568, 3
365.txt, 1.4, 4.4, 648, 0.0364, 0.0436, 3
27.txt, 1.57, 4.63, 545, 0.041, 0.0691, 3
285.txt, 1.6, 4.92, 163, 0.1418, 0.0896, 3
138.txt, 1.44, 4.44, 103, 0.1724, 0.046, 3
233.txt, 1.62, 4.77, 61, 0.25, 0.1346, 3
85.txt, 1.5, 4.81, 154, 0.1311, 0.0, 3
70.txt, 1.63, 4.96, 67, 0.2456, 0.1404, 3
55.txt, 1.49, 4.62, 342, 0.0606, 0.0572, 3
419.txt, 1.6, 4.76, 351, 0.0572, 0.0337, 3
38.txt, 1.41, 4.34, 371, 0.0568, 0.0095, 3
499.txt, 1.72, 5.17, 203, 0.1018, 0.006, 3
86.txt, 1.44, 4.42, 300, 0.0732, 0.0447, 3
294.txt, 1.44, 4.37, 440, 0.0483, 0.0107, 3
157.txt, 1.56, 4.74, 404, 0.0567, 0.009, 3
348.txt, 1.53, 4.69, 330, 0.0725, 0.0072, 3
453.txt, 1.65, 4.87, 471, 0.0513, 0.0282, 3
241.txt, 1.65, 5.09, 216, 0.0924, 0.0598, 3
367.txt, 1.45, 4.5, 189, 0.109, 0.0577, 3
299.txt, 1.47, 4.41, 225, 0.1023, 0.0, 3
326.txt, 1.51, 4.58, 185, 0.1184, 0.0855, 3
37.txt, 1.63, 5.0, 153, 0.1145, 0.0763, 3
234.txt, 1.41, 4.34, 316, 0.0652, 0.1486, 3
107.txt, 1.49, 4.47, 126, 0.1456, 0.0583, 3
74.txt, 1.57, 4.77, 127, 0.1667, 0.0, 3
427.txt, 1.38, 4.57, 228, 0.089, 0.0, 3
61.txt, 1.41, 4.5, 157, 0.1128, 0.0, 3
460.txt, 1.5, 4.4, 201, 0.0936, 0.0351, 3
442.txt, 1.6, 4.8, 219, 0.0957, 0.0372, 3
30.txt, 1.69, 5.04, 296, 0.0653, 0.0694, 3
342.txt, 1.53, 4.69, 218, 0.0944, 0.0056, 3
229.txt, 1.52, 4.45, 103, 0.1724, 0.0805, 3
270.txt, 1.34, 4.13, 496, 0.044, 0.0122, 3
93.txt, 1.56, 4.67, 228, 0.0963, 0.0107, 3
199.txt, 1.57, 4.59, 164, 0.1037, 0.0, 3
111.txt, 1.39, 4.41, 514, 0.0384, 0.024, 3
183.txt, 1.59, 4.74, 203, 0.0988, 0.0233, 3
421.txt, 1.44, 4.3, 230, 0.0938, 0.0, 3
168.txt, 1.52, 4.32, 102, 0.1975, 0.0, 3
476.txt, 1.49, 4.57, 322, 0.0599, 0.0493, 3
52.txt, 1.49, 4.65, 131, 0.1635, 0.0577, 3
141.txt, 1.42, 4.36, 172, 0.1103, 0.0828, 3
280.txt, 1.48, 4.54, 328, 0.0641, 0.0285, 3
364.txt, 1.38, 4.34, 704, 0.0302, 0.0519, 3
478.txt, 1.36, 4.34, 406, 0.052, 0.0376, 3
47.txt, 1.56, 4.66, 676, 0.0333, 0.0648, 3
184.txt, 1.51, 4.65, 416, 0.0576, 0.0091, 3
195.txt, 1.41, 4.28, 222, 0.0761, 0.0051, 3
105.txt, 1.55, 4.69, 525, 0.0446, 0.0751, 3
394.txt, 1.47, 4.52, 441, 0.0552, 0.0663, 3
248.txt, 1.49, 4.54, 289, 0.0723, 0.0383, 3
497.txt, 1.51, 4.53, 419, 0.0513, 0.0997, 3
313.txt, 1.81, 5.59, 35, 0.3125, 0.0, 3
24.txt, 1.68, 4.92, 158, 0.125, 0.0078, 3
332.txt, 1.56, 4.63, 254, 0.0927, 0.0195, 3
103.txt, 1.51, 4.68, 174, 0.0921, 0.0329, 3
296.txt, 1.53, 4.71, 151, 0.1136, 0.0379, 3
43.txt, 1.6, 4.94, 137, 0.1405, 0.0248, 3
69.txt, 1.49, 4.51, 200, 0.1018, 0.024, 3
482.txt, 1.65, 4.77, 394, 0.0579, 0.0366, 3
366.txt, 1.57, 4.81, 321, 0.0662, 0.0478, 3
149.txt, 1.63, 4.85, 438, 0.049, 0.0218, 3
292.txt, 1.73, 5.28, 256, 0.0708, 0.0943, 3
235.txt, 1.54, 4.8, 236, 0.0984, 0.0104, 3
89.txt, 1.87, 5.33, 17, 0.6667, 0.0, 3
198.txt, 1.32, 4.25, 364, 0.0621, 0.0163, 3
101.txt, 1.51, 4.57, 351, 0.0603, 0.0, 3
129.txt, 1.43, 4.25, 189, 0.1032, 0.0452, 3
491.txt, 1.63, 4.75, 111, 0.163, 0.0543, 3
485.txt, 1.59, 4.82, 344, 0.0625, 0.0243, 3
390.txt, 1.43, 4.47, 524, 0.0488, 0.0791, 3
462.txt, 1.61, 4.87, 197, 0.1024, 0.0301, 3
106.txt, 1.43, 4.39, 452, 0.0495, 0.022, 3
277.txt, 1.47, 4.52, 422, 0.0522, 0.0609, 3
151.txt, 1.44, 4.36, 270, 0.0769, 0.0256, 3
122.txt, 1.47, 4.55, 221, 0.096, 0.0, 3
417.txt, 1.52, 4.72, 339, 0.0662, 0.0174, 3
343.txt, 1.36, 4.03, 139, 0.1368, 0.0, 3
276.txt, 1.42, 4.27, 137, 0.1239, 0.0088, 3
264.txt, 1.5, 4.59, 435, 0.0501, 0.1866, 3
140.txt, 1.53, 4.61, 420, 0.0578, 0.003, 3
102.txt, 1.51, 4.68, 174, 0.0921, 0.0329, 3
401.txt, 1.44, 4.45, 577, 0.0417, 0.1162, 3
374.txt, 1.55, 4.49, 88, 0.2027, 0.0135, 3
493.txt, 1.51, 4.69, 93, 0.1948, 0.013, 3
467.txt, 1.59, 4.87, 317, 0.0651, 0.1073, 3
324.txt, 1.48, 4.56, 870, 0.0259, 0.0477, 3
152.txt, 1.46, 4.33, 164, 0.1232, 0.0145, 3
486.txt, 1.74, 4.94, 306, 0.0639, 0.0188, 3
391.txt, 1.69, 5.01, 123, 0.1346, 0.0577, 3
438.txt, 1.54, 4.68, 420, 0.0517, 0.0603, 3
263.txt, 1.51, 4.71, 300, 0.0685, 0.0403, 3
267.txt, 1.45, 4.5, 300, 0.0667, 0.0902, 3
56.txt, 1.54, 4.63, 27, 0.5, 0.1667, 3
283.txt, 1.35, 4.28, 386, 0.0671, 0.0128, 3
344.txt, 1.25, 4.11, 124, 0.1415, 0.0, 3
253.txt, 1.62, 4.81, 422, 0.0472, 0.1472, 3
64.txt, 1.44, 4.4, 209, 0.0982, 0.0, 3
90.txt, 1.56, 4.72, 589, 0.0414, 0.0118, 3
393.txt, 1.69, 5.01, 262, 0.0769, 0.0498, 3
381.txt, 1.57, 4.67, 128, 0.1468, 0.0, 3
17.txt, 1.37, 4.26, 101, 0.1724, 0.0115, 3
444.txt, 1.39, 4.72, 522, 0.0429, 0.0406, 3
190.txt, 1.52, 4.57, 114, 0.1684, 0.0737, 3
484.txt, 1.45, 4.54, 650, 0.0323, 0.0503, 3
269.txt, 1.45, 4.47, 226, 0.0838, 0.0314, 3
