Filename,NP/S,VP/S,PP/S,NPlen,VPlen,PPlen,cli,fks
133.txt, 7.52, 2.85, 2.66, 1.77, 1.57, 1.01, 12.204, 37.048
120.txt, 4.52, 2.38, 1.33, 1.43, 1.48, 1.0, 10.746, 46.687
240.txt, 5.16, 2.09, 1.73, 1.8, 1.73, 1.0, 11.186, 45.404
468.txt, 5.75, 1.75, 2.25, 1.77, 1.79, 1.0, 11.737, 38.628
178.txt, 4.65, 2.35, 1.65, 2.0, 1.57, 1.0, 11.393, 48.766
542.txt, 4.71, 2.18, 1.88, 2.15, 1.73, 1.0, 13.708, 29.24
70.txt, 6.37, 2.89, 1.89, 1.81, 1.65, 1.0, 12.246, 37.908
442.txt, 7.58, 2.84, 2.63, 2.06, 1.78, 1.0, 14.611, 24.75
117.txt, 5.38, 2.88, 1.5, 1.81, 1.52, 1.0, 11.501, 43.676
359.txt, 4.97, 2.18, 1.12, 1.88, 2.17, 1.0, 13.653, 32.675
524.txt, 3.67, 2.0, 1.33, 2.09, 1.92, 1.0, 12.177, 37.469
459.txt, 4.05, 2.0, 1.47, 1.91, 1.87, 1.0, 12.082, 39.939
527.txt, 6.79, 2.57, 2.0, 1.82, 1.92, 1.0, 13.686, 32.335
490.txt, 6.26, 2.76, 2.32, 1.89, 1.83, 1.01, 14.398, 27.551
349.txt, 3.43, 2.0, 1.29, 2.0, 1.79, 1.0, 11.246, 42.417
353.txt, 5.07, 1.97, 2.0, 1.85, 1.92, 1.0, 10.006, 50.046
167.txt, 9.31, 3.08, 1.31, 1.67, 1.6, 1.0, 15.334, 29.916
124.txt, 5.6, 2.6, 1.88, 1.42, 1.46, 1.02, 12.628, 39.317
417.txt, 4.2, 2.07, 1.4, 1.81, 1.65, 1.05, 13.857, 30.252
523.txt, 5.37, 2.03, 1.79, 1.72, 1.66, 1.01, 12.905, 38.793
163.txt, 4.95, 2.52, 1.18, 1.76, 1.75, 1.0, 10.33, 52.205
191.txt, 4.41, 2.24, 1.29, 1.76, 1.71, 1.0, 12.587, 40.144
282.txt, 6.75, 2.44, 2.44, 1.91, 1.67, 1.03, 11.89, 38.665
186.txt, 5.0, 2.58, 1.25, 1.95, 1.84, 1.0, 11.329, 47.233
269.txt, 5.29, 1.86, 2.29, 2.01, 1.73, 1.0, 12.462, 37.115
474.txt, 6.89, 2.59, 1.74, 2.0, 1.76, 1.0, 9.427, 46.196
274.txt, 2.89, 2.0, 0.78, 1.81, 1.61, 1.0, 11.863, 41.634
83.txt, 7.58, 4.67, 1.5, 1.65, 1.8, 1.0, 13.473, 32.139
469.txt, 6.08, 2.08, 2.58, 1.81, 1.92, 1.0, 10.974, 40.575
483.txt, 5.91, 2.64, 1.91, 1.98, 1.93, 1.0, 12.868, 37.743
448.txt, 3.0, 2.0, 1.0, 2.05, 1.79, 1.0, 11.388, 42.104
322.txt, 4.53, 2.35, 0.97, 1.6, 2.01, 1.0, 13.028, 41.217
525.txt, 2.0, 0.0, 1.0, 1.5, 0.0, 1.0, 23.651, -54.07
291.txt, 5.14, 2.05, 2.29, 2.03, 1.63, 1.02, 12.688, 44.44
252.txt, 6.38, 2.32, 2.21, 1.81, 1.48, 1.0, 11.2, 46.818
113.txt, 5.6, 2.42, 1.71, 1.71, 1.78, 1.0, 11.04, 46.856
435.txt, 4.07, 2.0, 1.1, 1.79, 1.7, 1.03, 13.097, 38.506
522.txt, 5.1, 2.0, 1.83, 1.74, 1.76, 1.0, 11.627, 47.79
154.txt, 4.95, 2.79, 1.26, 1.66, 1.49, 1.04, 11.936, 41.111
231.txt, 4.2, 2.0, 1.5, 2.19, 1.6, 1.0, 12.671, 39.989
462.txt, 4.79, 2.56, 1.29, 1.78, 2.2, 1.0, 13.708, 34.901
352.txt, 4.13, 2.08, 1.54, 1.93, 1.54, 1.0, 11.685, 46.165
221.txt, 5.38, 2.38, 2.0, 2.53, 1.63, 1.0, 11.538, 41.85
264.txt, 4.69, 2.31, 1.19, 1.95, 1.65, 1.11, 11.683, 43.213
324.txt, 4.46, 2.04, 1.54, 1.9, 1.82, 1.0, 15.443, 23.775
234.txt, 6.31, 2.58, 2.19, 1.76, 1.63, 1.0, 11.981, 40.334
408.txt, 4.25, 2.17, 1.25, 1.82, 1.62, 1.0, 11.672, 42.948
406.txt, 5.35, 2.29, 1.97, 1.89, 1.9, 1.0, 12.742, 34.961
170.txt, 3.0, 0.0, 1.0, 1.67, 0.0, 1.0, 16.507, 3.345
