Filename,NP/S,VP/S,PP/S,NPlen,VPlen,PPlen,cli,fks
133.txt, 4.0, 2.33, 1.33, 1.88, 2.21, 1.0, 10.468, 48.156
120.txt, 4.19, 1.87, 1.1, 1.66, 1.69, 1.0, 12.007, 41.097
240.txt, 4.2, 2.2, 1.0, 1.76, 1.86, 1.0, 11.362, 42.86
468.txt, 4.0, 2.22, 1.22, 1.75, 1.8, 1.0, 12.046, 41.554
178.txt, 4.43, 2.43, 1.29, 2.03, 2.0, 1.0, 10.763, 49.532
15.txt, 4.14, 2.29, 1.14, 1.93, 1.94, 1.0, 10.059, 54.712
70.txt, 3.63, 2.25, 0.88, 2.07, 1.83, 1.0, 10.646, 46.763
442.txt, 5.14, 2.57, 2.0, 1.92, 1.94, 1.0, 8.787, 53.592
117.txt, 3.65, 1.83, 1.17, 1.75, 1.76, 1.0, 10.726, 45.43
359.txt, 6.64, 3.27, 2.09, 1.81, 1.78, 1.0, 7.043, 58.711
459.txt, 4.0, 2.14, 1.57, 1.89, 1.67, 1.0, 10.674, 48.324
20.txt, 4.5, 2.67, 1.33, 1.93, 1.88, 1.0, 10.134, 52.487
35.txt, 5.21, 2.9, 1.1, 1.69, 1.57, 1.0, 11.061, 50.015
490.txt, 4.0, 2.29, 1.14, 1.75, 1.88, 1.0, 10.617, 46.041
349.txt, 4.33, 2.33, 1.5, 1.85, 2.0, 1.0, 10.435, 47.56
353.txt, 5.85, 2.15, 1.77, 2.12, 1.54, 1.0, 8.556, 56.964
28.txt, 5.14, 2.29, 1.29, 2.06, 1.75, 1.0, 11.971, 38.226
167.txt, 5.17, 3.0, 0.77, 1.49, 1.97, 1.0, 10.17, 56.125
124.txt, 4.4, 2.3, 1.2, 1.7, 2.0, 1.0, 10.211, 53.521
417.txt, 5.42, 2.58, 2.33, 1.94, 1.68, 1.0, 10.369, 48.983
163.txt, 5.46, 2.83, 1.46, 1.64, 1.74, 1.03, 11.443, 47.077
191.txt, 5.59, 2.48, 2.07, 1.9, 1.9, 1.0, 9.687, 55.577
282.txt, 4.23, 2.08, 1.08, 1.89, 1.48, 1.0, 11.659, 42.43
186.txt, 5.42, 3.0, 1.42, 1.57, 1.86, 1.0, 11.722, 46.041
269.txt, 5.53, 2.2, 1.27, 1.99, 1.52, 1.0, 8.086, 53.672
474.txt, 3.0, 1.45, 1.36, 1.91, 1.81, 1.0, 12.317, 38.184
274.txt, 4.09, 1.91, 1.27, 1.89, 1.71, 1.0, 9.825, 51.489
9.txt, 3.83, 1.83, 1.67, 1.96, 1.91, 1.0, 11.118, 46.775
83.txt, 4.67, 2.44, 1.22, 2.05, 1.86, 1.0, 11.004, 48.4
