Filename,NP/S,VP/S,PP/S,NPlen,VPlen,PPlen,cli,fks
133.txt, 3.75, 1.75, 1.25, 1.7, 1.64, 1.0, 13.713, 41.51
120.txt, 2.75, 1.25, 0.5, 1.36, 2.6, 1.0, 12.905, 36.766
240.txt, 3.24, 1.59, 1.0, 1.62, 2.07, 1.0, 12.845, 34.039
468.txt, 4.32, 1.57, 1.71, 2.0, 1.64, 1.0, 11.353, 41.844
178.txt, 3.77, 1.46, 1.08, 2.12, 1.63, 1.0, 11.843, 41.784
15.txt, 3.07, 1.33, 1.07, 1.76, 1.75, 1.0, 14.73, 34.98
70.txt, 3.1, 1.4, 1.3, 2.06, 1.79, 1.0, 12.087, 42.054
442.txt, 3.45, 1.45, 1.45, 2.11, 1.63, 1.0, 11.699, 46.298
117.txt, 3.0, 1.75, 0.75, 1.33, 1.86, 1.0, 9.342, 55.029
359.txt, 4.21, 1.79, 1.57, 1.97, 1.32, 1.0, 11.145, 45.163
459.txt, 4.32, 1.95, 1.68, 1.82, 1.78, 1.0, 10.624, 51.731
20.txt, 4.72, 1.78, 1.83, 1.85, 1.69, 1.0, 10.47, 47.278
35.txt, 5.25, 2.25, 1.25, 2.26, 1.28, 1.0, 11.975, 41.513
490.txt, 3.87, 1.67, 0.93, 1.64, 1.72, 1.0, 12.481, 44.951
349.txt, 3.64, 1.21, 1.71, 1.76, 2.0, 1.0, 12.371, 34.674
353.txt, 3.73, 1.8, 1.13, 2.07, 1.44, 1.06, 11.623, 45.432
28.txt, 3.7, 1.6, 1.0, 1.92, 1.38, 1.0, 12.047, 49.169
167.txt, 3.7, 1.33, 1.4, 1.66, 1.73, 1.0, 12.378, 36.0
124.txt, 2.96, 1.38, 0.85, 2.03, 1.64, 1.0, 11.476, 40.385
417.txt, 4.92, 2.31, 1.62, 2.05, 1.37, 1.0, 10.904, 49.456
163.txt, 3.47, 1.63, 1.13, 1.93, 1.63, 1.0, 12.021, 41.443
191.txt, 3.92, 1.58, 1.17, 2.04, 1.47, 1.0, 9.184, 55.382
282.txt, 3.28, 1.44, 0.88, 1.72, 1.52, 1.0, 12.072, 42.258
186.txt, 2.55, 1.23, 0.68, 1.71, 1.45, 1.0, 12.117, 32.593
269.txt, 3.5, 1.5, 0.71, 2.0, 1.76, 1.0, 12.316, 45.214
474.txt, 3.46, 1.46, 1.15, 1.87, 1.58, 1.0, 11.428, 38.805
274.txt, 2.78, 1.43, 0.65, 1.63, 1.67, 1.0, 10.53, 43.104
9.txt, 4.2, 2.1, 1.0, 1.56, 1.76, 1.0, 12.764, 43.49
83.txt, 3.6, 1.7, 1.2, 2.17, 1.71, 1.0, 12.519, 34.781
469.txt, 4.64, 2.45, 1.36, 1.84, 1.63, 1.0, 11.752, 36.49
483.txt, 3.6, 1.47, 0.93, 1.69, 1.27, 1.0, 12.528, 37.385
448.txt, 4.25, 1.58, 1.08, 1.86, 1.47, 1.0, 13.625, 36.07
11.txt, 4.5, 1.58, 1.92, 2.02, 1.53, 1.0, 12.659, 31.618
322.txt, 2.92, 1.33, 0.92, 1.89, 1.81, 1.0, 10.878, 41.812
291.txt, 4.04, 1.75, 1.21, 2.12, 1.45, 1.0, 13.309, 33.377
252.txt, 3.67, 1.75, 1.25, 1.82, 1.62, 1.0, 11.203, 47.505
113.txt, 5.08, 2.0, 2.25, 2.08, 1.04, 1.0, 12.877, 41.258
435.txt, 4.32, 1.79, 1.32, 2.09, 1.53, 1.0, 10.969, 42.093
154.txt, 3.77, 1.5, 1.36, 1.81, 1.76, 1.03, 14.82, 31.608
231.txt, 3.82, 1.64, 1.14, 1.65, 1.28, 1.0, 12.555, 41.165
462.txt, 4.53, 1.89, 1.68, 1.83, 1.44, 1.0, 13.348, 41.155
352.txt, 3.63, 1.81, 0.88, 1.57, 1.52, 1.0, 10.607, 47.889
221.txt, 3.4, 1.73, 0.6, 2.02, 1.62, 1.0, 10.947, 52.725
264.txt, 3.85, 1.62, 1.08, 1.86, 1.24, 1.0, 11.427, 41.134
324.txt, 3.67, 1.53, 1.2, 1.89, 1.39, 1.0, 10.749, 46.056
234.txt, 3.73, 1.36, 1.27, 2.17, 1.4, 1.0, 11.697, 37.451
408.txt, 4.1, 1.95, 1.19, 1.65, 1.56, 1.0, 13.949, 31.736
406.txt, 4.56, 1.44, 1.56, 2.02, 1.46, 1.0, 13.682, 35.535
170.txt, 4.38, 1.75, 1.13, 2.0, 1.5, 1.0, 12.738, 31.299
465.txt, 4.5, 1.92, 1.33, 2.02, 1.57, 1.0, 12.963, 39.847
409.txt, 3.63, 1.38, 1.0, 2.48, 1.27, 1.0, 11.961, 40.554
386.txt, 4.15, 1.9, 1.15, 1.96, 1.76, 1.0, 13.918, 37.835
93.txt, 3.0, 1.17, 1.17, 1.72, 2.14, 1.0, 15.911, 18.29
42.txt, 5.25, 2.25, 1.88, 1.71, 1.56, 1.0, 11.996, 31.425
218.txt, 3.83, 1.63, 1.25, 1.5, 1.49, 1.0, 11.727, 39.519
73.txt, 5.57, 1.71, 2.86, 2.18, 1.17, 1.0, 11.151, 46.037
251.txt, 3.09, 1.45, 0.73, 1.97, 1.5, 1.0, 13.357, 36.481
57.txt, 4.5, 2.25, 0.88, 1.67, 1.17, 1.0, 12.832, 44.47
320.txt, 4.45, 1.82, 1.73, 1.78, 1.5, 1.05, 10.428, 49.99
31.txt, 4.84, 2.16, 1.0, 1.73, 1.59, 1.0, 9.825, 53.952
453.txt, 3.33, 1.17, 1.5, 2.15, 1.57, 1.0, 11.678, 50.301
383.txt, 3.92, 1.58, 1.23, 1.86, 1.51, 1.0, 11.986, 45.367
87.txt, 4.33, 2.67, 1.0, 1.62, 1.38, 1.0, 14.476, 26.765
17.txt, 6.2, 2.6, 1.2, 1.97, 1.46, 1.0, 10.737, 44.977
232.txt, 3.61, 1.52, 0.74, 1.71, 1.55, 1.0, 11.609, 43.774
109.txt, 6.0, 2.6, 2.0, 2.1, 1.23, 1.0, 12.723, 38.832
333.txt, 3.63, 1.56, 0.94, 1.84, 1.36, 1.0, 12.606, 35.27
461.txt, 3.14, 1.0, 0.86, 2.0, 1.43, 1.0, 14.956, 24.534
330.txt, 3.96, 1.54, 1.31, 1.87, 1.55, 1.0, 11.968, 35.36
367.txt, 3.0, 1.43, 0.86, 2.05, 1.1, 1.0, 11.705, 45.665
180.txt, 3.56, 1.56, 1.17, 1.84, 1.68, 1.0, 11.784, 42.389
166.txt, 3.19, 1.78, 0.7, 1.83, 1.56, 1.0, 13.495, 34.535
401.txt, 4.7, 1.8, 1.6, 2.04, 1.39, 1.0, 11.402, 43.026
161.txt, 3.46, 1.77, 0.62, 1.73, 1.39, 1.0, 13.537, 45.032
304.txt, 3.0, 1.56, 0.56, 1.73, 1.8, 1.0, 10.856, 40.991
122.txt, 3.69, 1.63, 0.75, 1.88, 1.73, 1.0, 10.659, 40.485
336.txt, 4.91, 1.64, 1.73, 1.8, 1.17, 1.0, 13.905, 32.497
194.txt, 4.0, 1.69, 1.08, 2.0, 1.5, 1.0, 9.923, 50.784
126.txt, 3.86, 1.71, 1.29, 1.65, 1.58, 1.0, 11.229, 41.021
55.txt, 2.86, 1.43, 1.0, 2.9, 1.7, 1.0, 11.065, 42.104
260.txt, 3.48, 1.48, 1.29, 1.84, 1.74, 1.0, 12.801, 33.849
482.txt, 4.29, 1.79, 1.0, 1.82, 1.24, 1.0, 12.322, 39.316
423.txt, 4.22, 1.65, 1.7, 1.92, 1.89, 1.0, 10.249, 50.933
121.txt, 3.0, 1.75, 0.5, 1.5, 1.14, 1.0, 11.729, 41.601
412.txt, 4.2, 1.8, 0.8, 2.14, 1.28, 1.0, 14.342, 25.722
445.txt, 3.17, 1.58, 1.0, 1.82, 1.74, 1.0, 13.355, 36.596
478.txt, 4.33, 2.17, 1.25, 1.83, 1.31, 1.0, 12.525, 41.686
303.txt, 2.31, 1.08, 0.54, 1.97, 1.93, 1.0, 14.919, 17.429
204.txt, 3.41, 1.23, 1.45, 1.95, 1.67, 1.0, 12.756, 43.325
273.txt, 2.92, 1.38, 0.85, 1.92, 1.5, 1.0, 10.596, 44.149
203.txt, 3.25, 0.88, 1.5, 1.77, 1.29, 1.08, 11.921, 32.838
62.txt, 3.6, 1.6, 1.2, 1.5, 1.5, 1.0, 14.804, 30.263
148.txt, 3.38, 1.45, 0.9, 1.57, 1.76, 1.0, 12.79, 36.87
337.txt, 2.33, 1.17, 0.83, 2.29, 1.14, 1.0, 14.752, 21.055
477.txt, 4.14, 1.79, 1.64, 1.88, 1.48, 1.0, 12.729, 39.719
464.txt, 5.83, 2.0, 2.83, 2.23, 1.17, 1.0, 13.075, 28.594
77.txt, 4.17, 1.67, 1.17, 2.12, 1.5, 1.0, 11.916, 45.262
389.txt, 3.42, 1.5, 1.17, 2.12, 1.94, 1.0, 10.824, 41.569
262.txt, 5.47, 2.06, 1.59, 2.05, 1.71, 1.0, 11.452, 44.523
24.txt, 3.94, 1.59, 1.18, 1.82, 1.63, 1.0, 12.538, 39.691
433.txt, 4.21, 1.46, 1.21, 2.25, 1.23, 1.0, 11.078, 44.777
284.txt, 3.73, 1.31, 1.31, 1.88, 1.47, 1.0, 10.864, 45.81
10.txt, 4.76, 1.38, 1.81, 2.22, 1.45, 1.0, 11.677, 41.279
302.txt, 4.0, 1.6, 1.2, 1.77, 1.75, 1.0, 11.493, 38.554
213.txt, 4.33, 2.27, 1.13, 1.63, 1.5, 1.0, 10.758, 46.793
428.txt, 4.0, 1.73, 1.09, 1.7, 1.74, 1.0, 13.808, 35.511
150.txt, 3.36, 1.18, 1.09, 1.78, 2.0, 1.0, 12.601, 40.101
307.txt, 5.08, 2.13, 1.46, 1.74, 1.55, 1.0, 13.057, 40.709
27.txt, 5.56, 2.0, 1.69, 1.87, 1.59, 1.0, 11.025, 49.705
285.txt, 4.07, 1.64, 1.5, 1.96, 1.7, 1.0, 11.341, 48.439
414.txt, 5.82, 2.09, 2.09, 1.63, 1.74, 1.0, 10.354, 47.715
325.txt, 3.86, 1.57, 1.29, 1.91, 1.5, 1.0, 10.464, 44.009
36.txt, 4.5, 2.33, 1.5, 2.33, 1.5, 1.0, 12.903, 38.45
271.txt, 3.4, 1.48, 0.97, 1.75, 1.32, 1.0, 13.527, 34.803
436.txt, 4.36, 1.73, 1.0, 2.0, 1.68, 1.0, 12.319, 43.828
287.txt, 3.8, 1.3, 1.8, 1.82, 1.77, 1.0, 12.98, 31.532
99.txt, 3.83, 2.0, 1.17, 1.48, 1.67, 1.0, 12.441, 42.885
319.txt, 3.53, 1.4, 1.4, 2.04, 1.4, 1.0, 13.189, 35.456
413.txt, 3.27, 1.4, 1.0, 2.04, 1.67, 1.0, 11.683, 39.8
455.txt, 6.29, 2.43, 1.71, 1.68, 1.65, 1.0, 10.205, 50.593
69.txt, 3.5, 1.33, 1.17, 2.57, 2.38, 1.0, 12.541, 33.69
2.txt, 5.0, 2.15, 1.62, 1.89, 1.68, 1.0, 10.587, 47.876
289.txt, 4.38, 1.95, 1.33, 1.73, 1.54, 1.0, 12.365, 40.182
496.txt, 3.0, 1.53, 0.93, 1.49, 1.26, 1.0, 11.459, 38.453
16.txt, 3.17, 1.5, 0.58, 1.92, 1.5, 1.0, 12.557, 46.156
247.txt, 3.64, 1.64, 1.09, 1.85, 1.67, 1.0, 13.056, 36.099
48.txt, 3.9, 2.1, 0.7, 1.9, 1.19, 1.0, 11.811, 46.376
361.txt, 3.74, 1.81, 0.71, 2.01, 1.45, 1.0, 12.31, 36.365
206.txt, 5.0, 2.15, 1.38, 1.52, 1.5, 1.0, 11.375, 41.35
130.txt, 3.57, 1.5, 1.11, 1.81, 1.48, 1.03, 12.804, 41.25
329.txt, 3.88, 1.69, 1.25, 1.71, 1.37, 1.0, 11.272, 42.422
354.txt, 3.53, 1.8, 0.77, 1.76, 1.5, 1.0, 13.176, 35.706
1.txt, 4.43, 1.86, 1.14, 2.03, 1.69, 1.0, 9.728, 52.64
351.txt, 4.07, 1.43, 1.0, 2.05, 1.4, 1.0, 12.182, 44.638
164.txt, 3.88, 1.58, 1.35, 1.84, 1.32, 1.0, 12.41, 39.528
227.txt, 3.5, 1.7, 0.5, 2.09, 1.35, 1.0, 12.003, 42.368
261.txt, 4.67, 2.14, 1.43, 1.58, 1.56, 1.0, 12.907, 38.349
481.txt, 3.92, 1.77, 1.08, 1.59, 1.61, 1.07, 9.859, 46.774
399.txt, 5.25, 2.25, 1.25, 1.46, 1.41, 1.0, 8.739, 56.742
79.txt, 2.5, 1.0, 0.9, 2.2, 1.3, 1.0, 13.895, 23.952
19.txt, 4.8, 1.8, 2.0, 1.92, 1.56, 1.0, 10.146, 42.029
89.txt, 3.89, 1.44, 1.56, 1.83, 1.31, 1.07, 12.49, 35.334
14.txt, 5.0, 1.67, 2.0, 1.6, 1.5, 1.0, 8.595, 44.083
292.txt, 6.0, 2.3, 1.7, 1.77, 1.74, 1.0, 10.261, 44.931
370.txt, 4.73, 1.88, 1.85, 1.73, 1.98, 1.02, 11.066, 43.72
