Filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,class
152.txt,10,93,40,64,36,147,53,86,47,0.59,0.55,0.43,0.42,4.65,1.53,93,35,40.50,38.90,0.63,0.78,5.42,7.67,0.91,23.62,0.74,0.73,13.88,2.63,0.22,0.72,0.13,0.01,0.14,144,10,22,13,9,6,4,7,18,14.4000,16.0000,11.0769,1.3000,2.4444,1.4444,0.4615,0.6667,0.9000,0.4444,0.7778,0.5385,2.0000,1.3846,4
388.txt,14,159,65,111,60,315,90,168,84,0.53,0.50,0.41,0.40,8.32,2.04,159,37,38.80,37.60,0.50,0.76,6.33,8.96,0.88,21.02,0.66,0.70,25.83,3.59,0.22,0.63,0.05,0.02,0.08,313,14,42,28,14,10,6,12,35,22.3571,22.3571,11.1786,2.0000,3.0000,2.0000,0.3571,0.7143,1.0000,0.4286,0.8571,0.4286,2.5000,1.2500,4
218.txt,5,45,10,24,8,63,15,31,13,0.49,0.42,0.22,0.10,0.10,0.22,45,39,37.30,36.40,0.71,0.78,4.01,5.67,0.92,22.16,0.77,0.80,6.40,1.79,0.26,0.75,0.10,0.06,0.16,61,5,11,7,5,0,0,1,3,12.2000,12.2000,8.7143,1.4000,2.2000,1.4000,0.0000,0.0000,1.0000,0.0000,0.2000,0.1429,0.6000,0.4286,4
241.txt,36,283,120,214,114,594,178,303,165,0.51,0.54,0.42,0.42,16.35,2.86,283,45,41.30,39.50,0.48,0.79,8.21,11.61,0.88,23.89,0.71,0.63,37.43,4.33,0.19,0.71,0.13,0.02,0.15,592,36,87,60,37,21,15,20,61,16.4444,16.0000,9.8667,1.6667,2.3514,1.6216,0.3500,0.5676,1.0278,0.4054,0.5405,0.3333,1.6486,1.0167,4
418.txt,10,123,40,90,38,200,54,114,48,0.57,0.42,0.33,0.47,9.30,2.16,123,43,42.30,38.60,0.61,0.80,6.15,8.70,0.91,25.08,0.79,0.81,28.49,3.77,0.31,0.76,0.13,0.04,0.17,194,10,33,22,11,10,5,2,18,19.4000,17.6364,8.8182,2.2000,3.0000,2.0000,0.4545,0.9091,1.1000,0.4545,0.1818,0.0909,1.6364,0.8182,4
554.txt,13,106,42,73,38,173,63,103,57,0.60,0.55,0.40,0.38,4.50,1.50,106,33,43.10,40.50,0.61,0.75,5.70,8.06,0.90,23.54,0.71,0.72,16.53,2.88,0.22,0.68,0.11,0.00,0.11,169,13,22,15,12,5,4,11,15,13.0000,14.0833,11.2667,1.1538,1.8333,1.2500,0.3333,0.4167,0.9231,0.3333,0.9167,0.7333,1.2500,1.0000,4
509.txt,15,145,61,103,59,278,105,155,99,0.56,0.64,0.42,0.47,9.80,2.21,145,39,39.30,36.90,0.52,0.76,6.15,8.70,0.88,21.13,0.66,0.69,21.36,3.27,0.20,0.62,0.13,0.03,0.15,272,15,38,25,16,11,10,4,28,18.1333,17.0000,10.8800,1.6667,2.3750,1.5625,0.4400,0.6875,1.0667,0.6250,0.2500,0.1600,1.7500,1.1200,4
495.txt,29,252,128,188,122,521,210,284,191,0.55,0.67,0.51,0.43,17.69,2.97,252,40,41.60,40.00,0.48,0.79,7.81,11.04,0.88,23.40,0.66,0.64,39.17,4.43,0.21,0.66,0.12,0.02,0.14,505,29,75,50,30,23,15,11,63,17.4138,16.8333,10.1000,1.7241,2.5000,1.6667,0.4600,0.7667,1.0345,0.5000,0.3667,0.2200,2.1000,1.2600,4
372.txt,22,175,74,131,70,352,100,189,92,0.54,0.49,0.42,0.43,11.27,2.37,175,42,40.30,37.90,0.50,0.77,6.60,9.33,0.88,21.37,0.69,0.78,36.82,4.29,0.25,0.61,0.10,0.03,0.12,346,22,52,32,21,11,8,10,37,15.7273,16.4762,10.8125,1.4545,2.4762,1.5238,0.3438,0.5238,0.9545,0.3810,0.4762,0.3125,1.7619,1.1562,4
108.txt,13,137,63,100,58,202,76,120,69,0.59,0.57,0.46,0.48,7.26,1.91,137,41,43.10,41.30,0.68,0.81,6.82,9.64,0.93,31.52,0.83,0.81,20.16,3.18,0.21,0.85,0.12,0.01,0.12,199,13,25,14,13,3,3,14,18,15.3077,15.3077,14.2143,1.0769,1.9231,1.0769,0.2143,0.2308,1.0000,0.2308,1.0769,1.0000,1.3846,1.2857,4
229.txt,10,132,65,100,61,189,78,121,72,0.64,0.60,0.49,0.37,2.58,1.14,132,44,44.40,41.70,0.70,0.89,6.79,9.60,0.93,33.24,0.83,0.89,15.21,2.76,0.14,0.82,0.08,0.01,0.09,182,10,18,11,10,3,3,6,18,18.2000,18.2000,16.5455,1.1000,1.8000,1.1000,0.2727,0.3000,1.0000,0.3000,0.6000,0.5455,1.8000,1.6364,4
1087.txt,20,176,69,135,66,351,95,185,88,0.53,0.48,0.39,0.38,7.88,1.98,176,42,40.10,38.40,0.50,0.77,6.64,9.39,0.88,21.61,0.73,0.71,28.57,3.78,0.22,0.75,0.12,0.01,0.13,348,20,50,32,23,11,10,11,38,17.4000,15.1304,10.8750,1.6000,2.1739,1.3913,0.3438,0.4783,1.1500,0.4348,0.4783,0.3438,1.6522,1.1875,4
92.txt,13,135,66,101,62,209,80,125,74,0.60,0.59,0.49,0.64,13.36,2.58,135,44,43.10,42.20,0.65,0.80,6.60,9.34,0.92,28.36,0.81,0.88,25.48,3.57,0.23,0.75,0.14,0.01,0.14,206,13,27,16,13,5,5,11,24,15.8462,15.8462,12.8750,1.2308,2.0769,1.2308,0.3125,0.3846,1.0000,0.3846,0.8462,0.6875,1.8462,1.5000,4
337.txt,18,166,60,117,56,294,82,155,71,0.53,0.46,0.36,0.47,9.80,2.21,166,44,41.70,41.00,0.56,0.84,6.85,9.68,0.90,24.54,0.75,0.78,27.22,3.69,0.23,0.69,0.14,0.02,0.16,282,18,45,30,20,12,11,7,25,15.6667,14.1000,9.4000,1.6667,2.2500,1.5000,0.4000,0.6000,1.1111,0.5500,0.3500,0.2333,1.2500,0.8333,4
117.txt,8,95,36,64,32,140,44,79,38,0.56,0.48,0.38,0.52,6.26,1.77,95,40,43.10,42.20,0.68,0.87,5.68,8.03,0.92,27.35,0.81,0.87,17.39,2.95,0.25,0.77,0.11,0.01,0.13,137,8,20,12,8,6,3,8,12,17.1250,17.1250,11.4167,1.5000,2.5000,1.5000,0.5000,0.7500,1.0000,0.3750,1.0000,0.6667,1.5000,1.0000,4
381.txt,26,211,80,160,75,396,111,223,102,0.56,0.46,0.38,0.46,14.63,2.70,211,40,40.20,40.90,0.53,0.83,7.50,10.60,0.89,24.68,0.72,0.77,41.66,4.56,0.24,0.68,0.13,0.02,0.15,390,26,53,31,26,10,7,16,41,15.0000,15.0000,12.5806,1.1923,2.0385,1.1923,0.3226,0.3846,1.0000,0.2692,0.6154,0.5161,1.5769,1.3226,4
