Filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,class
152.txt,33,182,85,135,83,324,135,208,133,0.64,0.64,0.47,0.52,17.29,2.94,182,42,43.40,40.10,0.56,0.80,7.15,10.11,0.90,25.16,0.65,0.71,32.14,4.01,0.22,0.64,0.06,0.02,0.08,324,33,52,37,31,6,3,14,27,9.8182,10.4516,8.7568,1.1212,1.6774,1.1935,0.1622,0.1935,0.9394,0.0968,0.4516,0.3784,0.8710,0.7297,1
388.txt,15,91,42,65,42,144,60,89,60,0.62,0.67,0.46,0.59,11.76,2.43,91,39,40.30,38.50,0.63,0.78,5.36,7.58,0.91,23.37,0.73,0.71,16.94,2.91,0.27,0.70,0.07,0.03,0.10,144,15,25,20,15,5,4,2,16,9.6000,9.6000,7.2000,1.3333,1.6667,1.3333,0.2500,0.3333,1.0000,0.2667,0.1333,0.1000,1.0667,0.8000,1
218.txt,30,139,51,98,50,250,75,148,74,0.59,0.50,0.37,0.46,7.81,1.98,139,36,40.00,40.20,0.56,0.81,6.22,8.79,0.89,22.56,0.66,0.65,15.57,2.79,0.16,0.64,0.12,0.02,0.14,251,31,38,35,30,5,4,7,23,8.0968,8.3667,7.1714,1.1290,1.2667,1.1667,0.1429,0.1667,0.9677,0.1333,0.2333,0.2000,0.7667,0.6571,1
241.txt,26,144,69,111,67,275,104,173,102,0.63,0.59,0.48,0.27,2.95,1.21,144,33,40.00,38.70,0.52,0.79,6.14,8.68,0.88,21.18,0.64,0.54,11.80,2.43,0.13,0.65,0.09,0.01,0.09,273,26,36,29,27,3,3,7,37,10.5000,10.1111,9.4138,1.1154,1.3333,1.0741,0.1034,0.1111,1.0385,0.1111,0.2593,0.2414,1.3704,1.2759,1
51.txt,8,51,18,37,18,77,23,48,23,0.62,0.48,0.35,0.50,2.00,1.00,51,34,36.30,32.30,0.66,0.68,4.11,5.81,0.91,19.89,0.77,0.88,6.12,1.75,0.15,0.72,0.06,0.02,0.08,77,8,7,5,6,1,0,1,8,9.6250,12.8333,15.4000,0.6250,1.1667,0.8333,0.2000,0.1667,0.7500,0.0000,0.1667,0.2000,1.3333,1.6000,1
418.txt,3,29,10,15,9,42,22,16,10,0.38,0.62,0.34,0.20,0.20,0.32,29,29,29,29,0.69,0.69,3.16,4.47,0.90,16.38,0.94,1.00,5.00,1.58,0.31,0.91,0.00,0.00,0.00,42,3,6,5,3,2,1,1,3,14.0000,14.0000,8.4000,1.6667,2.0000,1.6667,0.4000,0.6667,1.0000,0.3333,0.3333,0.2000,1.0000,0.6000,1
59.txt,8,57,24,40,24,76,32,49,32,0.64,0.65,0.42,0.67,5.33,1.63,57,38,41.20,39.90,0.75,0.76,4.62,6.54,0.93,28.31,0.82,0.83,8.33,2.04,0.20,0.77,0.10,0.02,0.12,76,8,10,9,7,2,2,2,7,9.5000,10.8571,8.4444,1.1250,1.4286,1.2857,0.2222,0.2857,0.8750,0.2857,0.2857,0.2222,1.0000,0.7778,1
495.txt,26,106,51,75,48,181,73,105,68,0.58,0.65,0.48,0.26,1.81,0.95,106,40,39.70,39.00,0.59,0.75,5.57,7.88,0.90,21.94,0.71,0.56,8.33,2.04,0.14,0.74,0.10,0.01,0.10,177,26,26,24,24,0,0,6,13,6.8077,7.3750,7.3750,0.9231,1.0833,1.0000,0.0000,0.0000,0.9231,0.0000,0.2500,0.2500,0.5417,0.5417,1
372.txt,9,53,21,34,18,74,30,43,27,0.58,0.63,0.40,0.58,4.08,1.43,53,38,37.70,37.10,0.72,0.76,4.36,6.16,0.92,24.10,0.79,0.67,5.33,1.63,0.19,0.81,0.07,0.02,0.09,72,9,10,8,9,0,0,1,6,8.0000,8.0000,9.0000,0.8889,1.1111,0.8889,0.0000,0.0000,1.0000,0.0000,0.1111,0.1250,0.6667,0.7500,1
108.txt,7,37,11,19,11,66,16,37,16,0.56,0.43,0.30,0.25,0.50,0.50,37,25,29.40,26.70,0.56,0.50,3.22,4.55,0.86,13.17,0.51,0.50,2.00,1.00,0.11,0.67,0.05,0.00,0.05,66,7,9,9,7,2,2,1,5,9.4286,9.4286,7.3333,1.2857,1.2857,1.2857,0.2222,0.2857,1.0000,0.2857,0.1429,0.1111,0.7143,0.5556,1
