,Filename,TLC/D,ALCL, numsyl, avgchar,lentok,ttr,awl,class
0,152.txt,26.0,3.0,1.4,4.57,356.0,0.049,0.0196,1.0
1,388.txt,11.0,2.0,1.37,4.18,154.0,0.1103,0.0588,1.0
2,218.txt,23.0,3.0,1.35,4.25,267.0,0.0687,0.0,1.0
3,241.txt,26.0,5.0,1.62,4.84,294.0,0.0586,0.0117,1.0
4,51.txt,5.0,2.0,1.51,4.63,81.0,0.1714,0.0,1.0
5,418.txt,1.0,2.0,1.6,4.8,42.0,0.52,0.16,1.0
6,59.txt,5.0,2.0,1.6,4.96,83.0,0.1857,0.0,1.0
7,495.txt,13.0,4.0,1.44,4.39,195.0,0.0938,0.0,1.0
8,372.txt,4.0,2.0,1.51,4.39,83.0,0.1972,0.0,1.0
9,108.txt,4.0,4.0,1.32,4.33,71.0,0.2,0.0,1.0
10,229.txt,4.0,2.0,1.51,4.81,43.0,0.3784,0.0,1.0
11,493.txt,5.0,2.0,1.73,4.96,56.0,0.3111,0.0667,1.0
12,42.txt,11.0,2.0,1.3,4.12,129.0,0.1339,0.0089,1.0
13,92.txt,6.0,2.0,1.45,4.51,91.0,0.1892,0.0,1.0
14,337.txt,13.0,2.0,1.49,4.76,121.0,0.1238,0.0,1.0
15,117.txt,21.0,3.0,1.41,4.41,250.0,0.0791,0.0326,1.0
16,23.txt,5.0,2.0,1.47,4.63,94.0,0.1728,0.0,1.0
17,381.txt,6.0,3.0,1.49,4.62,116.0,0.134,0.0,1.0
18,44.txt,7.0,3.0,1.31,4.2,75.0,0.2031,0.0625,1.0
19,293.txt,9.0,4.0,1.44,4.42,187.0,0.1006,0.0,1.0
20,484.txt,7.0,2.0,1.57,4.66,115.0,0.1485,0.099,1.0
21,211.txt,2.0,2.0,1.52,4.57,52.0,0.2826,0.1957,1.0
22,7.txt,8.0,3.0,1.66,4.8,103.0,0.2169,0.0361,1.0
23,312.txt,4.0,2.0,1.6,4.72,71.0,0.2,0.0,1.0
24,444.txt,12.0,4.0,1.38,4.4,147.0,0.123,0.0,1.0
25,374.txt,13.0,4.0,1.68,5.16,115.0,0.1474,0.0,1.0
26,295.txt,11.0,3.0,1.68,5.08,152.0,0.1163,0.0388,1.0
27,436.txt,7.0,2.0,1.44,4.77,103.0,0.1932,0.0,1.0
28,230.txt,23.0,2.0,1.52,4.48,312.0,0.0684,0.0266,1.0
29,494.txt,12.0,4.0,1.31,4.17,147.0,0.127,0.0,1.0
30,261.txt,14.0,2.0,1.42,4.28,144.0,0.1301,0.0976,1.0
31,61.txt,8.0,2.0,1.5,5.1,97.0,0.1512,0.0,1.0
32,12.txt,9.0,4.0,1.48,4.12,135.0,0.1296,0.0463,1.0
33,16.txt,21.0,3.0,1.38,4.24,315.0,0.0655,0.0145,1.0
34,134.txt,11.0,2.0,1.38,4.18,163.0,0.1395,0.0,1.0
35,309.txt,12.0,2.0,1.51,4.42,168.0,0.1127,0.0,1.0
36,28.txt,11.0,3.0,1.45,4.54,144.0,0.1416,0.0177,1.0
37,373.txt,18.0,3.0,1.51,4.7,222.0,0.087,0.0217,1.0
38,404.txt,9.0,2.0,1.36,4.25,95.0,0.1625,0.0125,1.0
39,410.txt,5.0,2.0,1.48,4.57,74.0,0.2308,0.0154,1.0
40,120.txt,21.0,3.0,1.25,4.01,327.0,0.0609,0.0251,1.0
41,358.txt,22.0,5.0,1.37,4.29,251.0,0.0787,0.0093,1.0
42,52.txt,6.0,3.0,1.55,4.73,110.0,0.1829,0.0,1.0
43,38.txt,7.0,3.0,,,,,,
44,203.txt,8.0,3.0,1.43,4.79,138.0,0.1593,0.0177,1.0
45,482.txt,6.0,3.0,1.65,4.94,76.0,0.2462,0.0615,1.0
46,27.txt,9.0,2.0,1.54,4.87,82.0,0.2143,0.0,1.0
47,98.txt,7.0,2.0,1.5,4.68,81.0,0.2059,0.0,1.0
48,386.txt,21.0,3.0,1.49,4.37,277.0,0.0773,0.0227,1.0
49,103.txt,8.0,2.0,1.44,4.5,97.0,0.1279,0.0,1.0
50,109.txt,10.0,3.0,1.41,4.43,118.0,0.1101,0.1835,1.0
51,106.txt,8.0,3.0,1.62,4.91,99.0,0.1899,0.0,1.0
52,101.txt,6.0,3.0,1.57,4.45,113.0,0.1263,0.0526,1.0
53,248.txt,27.0,4.0,1.46,4.49,307.0,0.0642,0.0,1.0
54,294.txt,3.0,2.0,1.49,4.68,55.0,0.2553,0.2553,1.0
55,321.txt,4.0,2.0,1.49,4.82,65.0,0.2549,0.098,1.0
56,22.txt,7.0,2.0,1.46,4.69,89.0,0.1875,0.0,1.0
57,328.txt,1.0,2.0,2.0,5.7,11.0,1.0,0.0,1.0
58,429.txt,12.0,2.0,1.49,4.38,129.0,0.1364,0.1909,1.0
59,177.txt,5.0,2.0,1.74,5.29,73.0,0.2097,0.0,1.0
60,199.txt,27.0,3.0,1.55,4.7,265.0,0.0693,0.026,1.0
61,344.txt,11.0,2.0,1.46,4.25,127.0,0.1333,0.0381,1.0
62,363.txt,25.0,3.0,1.43,4.56,287.0,0.0714,0.0168,1.0
63,393.txt,20.0,3.0,1.69,4.97,224.0,0.1006,0.0223,1.0
64,13.txt,8.0,2.0,1.55,4.75,135.0,0.1441,0.0,1.0
65,243.txt,6.0,2.0,1.37,3.96,82.0,0.1918,0.0,1.0
66,85.txt,7.0,2.0,1.62,4.78,83.0,0.2192,0.0,1.0
